id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROYECTO SUR_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,DEL CAMPO POPULAR_perc,MOVIMIENTO DE ACCION VECINAL_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROYECTO SUR_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,DEL CAMPO POPULAR_votos,MOVIMIENTO DE ACCION VECINAL_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
BUENOS AIRES_MORENO,"Moreno, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.38,4.35,2.19,64.77,11.4,1.06,6.52,1.66,0.25,0.42,14876,8768,4421,130605,22995,2130,13141,3351,497,854,79.16,275275,217911,6.2,0.27,1,13512,582,2179
BUENOS AIRES_MORON,"Moron, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,9.38,11.52,3.57,45.22,15.41,1.18,9.54,3.72,0.22,0.23,17313,21256,6593,83459,28449,2181,17611,6871,400,432,78.45,249514,195753,4.85,0.06,0.81,9488,113,1587
BUENOS AIRES_NAVARRO,"Navarro, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.2,3.57,0.63,45.71,19.02,0.23,21.7,2.33,0.22,0.4,572,329,58,4215,1754,21,2001,215,20,37,81.88,12668,10372,10.45,0.02,0.62,1084,2,64
BUENOS AIRES_NECOCHEA,"Necochea, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,5.17,7.16,1.33,40.97,26.61,0.36,14.63,3.06,0.23,0.48,2783,3849,716,22034,14310,193,7871,1645,126,256,77.84,76218,59325,7.16,0.71,1.47,4248,424,870
BUENOS AIRES_9 DE JULIO,"Nueve De Julio, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,5.13,7.07,1.15,40.74,20.59,0.69,21.28,2.73,0.21,0.41,1520,2093,341,12067,6098,203,6303,809,62,120,82.58,38222,31564,5.31,0.04,0.82,1676,14,258
BUENOS AIRES_OLAVARRIA,"Olavarria, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.92,6.44,2.02,54.06,12.45,0.73,11.41,4.06,0.51,0.4,4908,3991,1255,33511,7719,452,7071,2519,318,248,78.35,85848,67262,6.99,0.04,0.8,4703,28,539
BUENOS AIRES_PATAGONES,"Patagones, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,4.14,4.39,0.99,50.73,15.23,0.6,20.84,2.13,0.31,0.63,679,720,162,8313,2496,99,3415,349,51,104,77.98,22883,17845,7.26,0.12,0.78,1296,22,139
BUENOS AIRES_PEHUAJO,"Pehuajo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,2.13,7.23,1.28,50.75,18.53,0.63,15.61,3.17,0.24,0.42,472,1601,283,11239,4104,140,3456,703,53,94,76.46,31429,24031,6.5,0.07,1.28,1562,17,307
BUENOS AIRES_PELLEGRINI,"Pellegrini, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.26,3.86,0,38.91,14.32,0.37,33.52,2.25,0.05,0.48,237,146,0,1473,542,14,1269,85,2,18,84.05,4815,4047,6.08,0.02,0.35,246,1,14
BUENOS AIRES_PERGAMINO,"Pergamino, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,8.23,14.49,1.28,39.11,17.44,0.66,14.36,3.96,0.22,0.25,4900,8629,764,23298,10389,394,8556,2361,129,149,77.97,81890,63848,5.5,0.05,1.15,3513,30,736
BUENOS AIRES_PILA,"Pila, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,3.87,3.46,0.74,45.76,22,0.18,22.05,1.48,0.18,0.28,84,75,16,992,477,4,478,32,4,6,83.12,2791,2320,6.29,0,0.26,146,0,6
BUENOS AIRES_PILAR,"Pilar, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.86,5.51,1.97,58.42,14.45,0.91,7.5,2.68,0.24,0.46,10172,7134,2544,75599,18703,1173,9712,3473,316,590,81.84,168169,137637,5.17,0.05,0.75,7117,70,1034
BUENOS AIRES_PINAMAR,"Pinamar, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,8.39,9.14,1.59,44.86,16.34,1.23,14.54,3.37,0.23,0.3,1049,1143,199,5610,2043,154,1818,422,29,38,71.97,18688,13450,5.67,0.05,1.31,762,7,176
BUENOS AIRES_PRESIDENTE PERON,"Presidente Peron, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,3.75,2.99,1.71,64.36,20.41,0.66,4.04,1.39,0.26,0.44,1371,1095,625,23548,7466,242,1477,508,96,160,83.42,47685,39777,7.11,0.05,0.86,2829,19,341
BUENOS AIRES_PUAN,"Puan, Buenos Aires",ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,5.67,10.67,0.87,29.35,12.91,0.34,34.9,4.81,0.17,0.3,606,1140,93,3135,1379,36,3728,514,18,32,78.34,14548,11397,5.62,0,0.67,640,0,76
BUENOS AIRES_PUNTA INDIO,"Punta Indio, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,0.07,6.42,1.45,43.49,20.26,0.59,24.54,2.24,0.43,0.52,4,359,81,2432,1133,33,1372,125,24,29,77.52,7982,6188,9.1,0.02,0.52,563,1,32
BUENOS AIRES_QUILMES,"Quilmes, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,8.39,6.92,3.04,55.08,12.1,1.26,9.31,3.35,0.23,0.31,24690,20385,8959,162171,35623,3717,27407,9874,688,915,77.77,406444,316108,5.89,0.09,0.87,18626,288,2765
BUENOS AIRES_RAMALLO,"Ramallo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,0.32,14.4,1.01,46.47,10.49,0.44,22.62,3.72,0.18,0.35,60,2729,191,8807,1988,83,4287,705,35,66,83.99,24371,20470,7.19,0.01,0.22,1471,2,46
BUENOS AIRES_RAUCH,"Rauch, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,2.79,5.76,1.28,45.18,12.18,0.05,28.87,3.39,0.21,0.29,279,575,128,4511,1216,5,2883,338,21,29,87.66,12488,10947,8.5,0.05,0.24,930,6,26
BUENOS AIRES_RIVADAVIA,"Rivadavia, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.22,22.12,0.58,33.6,23.2,0.23,8.65,3.12,0.22,1.06,620,1901,50,2887,1994,20,743,268,19,91,80.47,12661,10188,15.22,0.02,0.41,1551,2,42
BUENOS AIRES_ROJAS,"Rojas, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,5.61,12.39,1.38,35.94,20.72,0.34,20.64,2.53,0.25,0.21,780,1724,192,5001,2883,47,2872,352,35,29,83.52,19318,16135,12.8,0.02,0.94,2065,4,151
BUENOS AIRES_ROQUE PEREZ,"Roque Perez, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,4.3,4.05,0.59,50.28,17.26,0.06,15.3,7.75,0.16,0.25,277,261,38,3237,1111,4,985,499,10,16,77.8,9240,7189,9.67,0.03,0.75,695,2,54
BUENOS AIRES_SAAVEDRA,"Saavedra, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,5.21,12.56,1.14,40.02,12.48,0.36,20.2,7.42,0.23,0.4,642,1549,141,4936,1539,44,2491,915,28,49,76.7,17299,13268,5.89,0.04,1.12,781,5,148
BUENOS AIRES_SALADILLO,"Saladillo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,3.28,6.87,1.34,37.02,21.07,0.11,26.77,2.94,0.2,0.4,609,1275,248,6871,3911,21,4969,546,38,74,82.82,25057,20751,9.57,0.06,0.92,1986,12,191
BUENOS AIRES_SALLIQUELO,"Salliquelo, Buenos Aires",ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,4.35,3.41,0.44,33.17,12.01,0.13,42.76,3.21,0.15,0.38,240,188,24,1829,662,7,2358,177,8,21,82.15,7346,6035,8.38,0,0.25,506,0,15
BUENOS AIRES_SALTO,"Salto, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,8.98,8.95,1.45,41.39,23.51,0.47,10.09,4.59,0.19,0.39,1720,1716,277,7932,4505,90,1934,879,37,74,80.97,25088,20315,5.45,0.01,0.21,1107,2,42
BUENOS AIRES_SAN ANDRES DE GILES,"San Andres De Giles, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,8.46,8.34,1.07,51.66,10.95,0.32,16.55,1.85,0.24,0.56,1108,1092,140,6763,1434,42,2167,242,31,73,85.03,16625,14137,7.04,0.07,0.28,995,10,40
BUENOS AIRES_SAN ANTONIO DE ARECO,"San Antonio De Areco, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.11,10.26,1.28,44.19,16.19,0.31,17.47,2.52,0.28,0.4,993,1434,179,6175,2262,43,2442,352,39,56,84.12,17671,14864,5.15,0.11,0.72,765,17,107
BUENOS AIRES_SAN CAYETANO,"San Cayetano, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.67,4.65,0.4,36.76,22.61,0.06,26.12,2.43,0.12,0.19,346,241,21,1907,1173,3,1355,126,6,10,81.13,6805,5521,5.85,0.05,0.13,323,3,7
BUENOS AIRES_SAN FERNANDO,"San Fernando, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.91,7.74,2.82,49.42,15.42,0.94,11.12,3.94,0.24,0.45,7074,6924,2522,44185,13784,837,9945,3526,212,403,81.47,119524,97376,7.62,0.05,0.5,7422,53,489
BUENOS AIRES_SAN ISIDRO,"San Isidro, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,9.92,11.84,2.85,31.1,19.73,1.26,16.11,6.72,0.16,0.3,18955,22633,5455,59424,37705,2402,30781,12847,310,565,78.4,256885,201397,4.13,0.13,0.86,8322,261,1737
BUENOS AIRES_SAN MIGUEL,"San Miguel, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.57,5.83,2.53,53.39,19.57,1.02,8.26,2.28,0.21,0.34,9445,8375,3638,76766,28129,1465,11872,3281,306,494,80.64,192359,155112,6.14,0.32,0.85,9523,501,1317
BUENOS AIRES_SAN NICOLAS,"San Nicolas, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.11,19.18,1.36,53.97,7.1,0.6,7.9,3.31,0.2,0.26,5079,15944,1133,44875,5903,497,6570,2755,170,220,81.17,111652,90623,7.48,0.03,0.74,6781,28,668
BUENOS AIRES_SAN PEDRO,"San Pedro, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,8.96,11.84,1.44,45.2,12.09,0.55,16.3,3.03,0.24,0.34,2892,3823,464,14596,3905,178,5263,979,79,110,79.1,43885,34714,6.15,0.07,0.77,2136,23,266
BUENOS AIRES_SAN VICENTE,"San Vicente, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,5.53,6.34,1.39,51.48,24.51,0.55,7.99,1.91,0.26,0.03,1611,1848,406,14995,7139,159,2327,557,76,8,80.75,39662,32026,7.69,0.14,1.23,2462,45,393
BUENOS AIRES_SUIPACHA,"Suipacha, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.24,5.93,0.67,52.36,16.02,0.53,14.94,1.96,0.15,0.2,476,390,44,3444,1054,35,983,129,10,13,85,8311,7064,6.8,0.03,0.06,480,2,4
BUENOS AIRES_TANDIL,"Tandil, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,5.95,8.72,2.24,44.21,15.51,0.88,18.26,3.71,0.21,0.31,4064,5959,1528,30201,10598,600,12474,2534,145,215,78.05,94058,73409,5.85,0.05,1.04,4291,39,761
BUENOS AIRES_TAPALQUE,"Tapalque, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,0,5.18,0.53,50.26,19.05,0.05,22.54,1.79,0.1,0.5,0,312,32,3028,1148,3,1358,108,6,30,85.22,7542,6427,6.16,0.03,0.06,396,2,4
BUENOS AIRES_TIGRE,"Tigre, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.15,6.42,2.69,57.75,13.44,0.91,8.03,3.17,0.17,0.26,12840,11521,4837,103686,24123,1639,14416,5697,311,465,80.65,239165,192898,6.24,0.04,0.65,12035,76,1252
BUENOS AIRES_TORDILLO,"Tordillo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,1.42,1.57,0.22,55.63,10.44,0,29.08,1.12,0.37,0.15,19,21,3,746,140,0,390,15,5,2,86.53,1700,1471,8.43,0,0.41,124,0,6
BUENOS AIRES_TORNQUIST,"Tornquist, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,8.76,6.35,1.92,36.52,13.04,0.53,19.15,13.09,0.28,0.37,683,495,150,2849,1017,41,1494,1021,22,29,79.51,10549,8387,5.85,0.08,1.05,491,7,88
BUENOS AIRES_TRENQUE LAUQUEN,"Trenque Lauquen, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,5.52,6.37,0.69,44.08,14.72,0.94,24.59,2.64,0.19,0.27,1386,1598,172,11063,3694,235,6173,662,48,68,79.94,34188,27330,7.38,0.06,0.73,2016,16,199
BUENOS AIRES_TRES ARROYOS,"Tres Arroyos, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.23,7.5,1.26,52.36,13.57,0.41,13.33,4.82,0.19,0.33,2011,2420,408,16890,4376,132,4299,1554,62,107,77.02,47920,36910,12.06,0.03,0.51,4452,11,188
BUENOS AIRES_TRES DE FEBRERO,"Tres De Febrero, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,10.99,8.58,3.57,47.11,15.32,1.24,9.72,2.89,0.26,0.31,20994,16393,6818,89963,29254,2371,18561,5523,487,600,77.08,259907,200349,3.77,0.06,0.85,7555,118,1712
BUENOS AIRES_TRES LOMAS,"Tres Lomas, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,3.89,2.85,1.36,45.41,23.65,0.38,19.92,1.9,0.11,0.52,172,126,60,2008,1046,17,881,84,5,23,86.45,6089,5264,15.71,0.11,0.17,827,6,9
BUENOS AIRES_25 DE MAYO,"Veinticinco De Mayo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,0.27,7.02,1.75,45.73,19.27,0.7,15.7,8.82,0.25,0.49,56,1456,362,9480,3995,145,3254,1829,52,102,79.62,28739,22882,8.5,0.02,0.89,1944,4,203
BUENOS AIRES_VICENTE LOPEZ,"Vicente Lopez, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,9.94,15.54,3.73,28.77,20.5,1.74,13.29,6,0.22,0.27,16928,26451,6354,48970,34887,2961,22628,10205,382,454,77.79,228132,177453,3.17,0.05,0.85,5624,97,1512
BUENOS AIRES_VILLA GESELL,"Villa Gesell, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.58,6.71,1.29,48.37,11.04,1.06,22.23,2.24,0.13,0.36,1160,1182,228,8525,1946,187,3918,394,23,63,77.87,24100,18766,4.96,0.08,1.03,931,15,194
BUENOS AIRES_VILLARINO,"Villarino, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.83,5.43,1.65,44.28,14.03,0.5,22.18,4.01,0.43,0.66,977,777,236,6337,2008,72,3174,574,61,95,81.49,21158,17241,15.53,0.02,1.44,2677,4,249
BUENOS AIRES_ZARATE,"Zarate, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.05,9,1.66,62.57,8.36,0.77,8.25,2.13,0.73,0.5,3724,5538,1019,38514,5148,473,5076,1310,448,308,79.45,83080,66011,6.04,0.05,0.66,3984,32,437
CATAMARCA_AMBATO,"Ambato, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,2.1,1.78,0.5,68,6.26,0.09,19.82,0.97,0.19,0.28,67,57,16,2172,200,3,633,31,6,9,76.47,4275,3269,1.96,0,0.34,64,0,11
CATAMARCA_ANCASTI,"Ancasti, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,0.93,0.57,0.72,53.33,5.23,0.14,37.85,0.79,0.22,0.22,13,8,10,744,73,2,528,11,3,3,64.8,2213,1434,2.16,0,0.56,31,0,8
CATAMARCA_ANDALGALA,"Andalgala, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,4.17,2.36,1.28,58.77,6,6.56,18.08,2.22,0.28,0.29,373,211,114,5253,536,586,1616,198,25,26,70.8,13012,9212,1.75,0.08,1.15,161,7,106
CATAMARCA_ANTOFAGASTA DE LA SIERRA,"Antofagasta De La Sierra, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,0.65,0.43,0.22,68.75,5.17,0.22,22.63,0.65,0.22,1.08,3,2,1,319,24,1,105,3,1,5,48.86,1011,494,2.63,2.23,1.21,13,11,6
CATAMARCA_BELEN,"Belen, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,2.67,1.04,0.67,66.42,4.45,0.25,22.69,1.15,0.24,0.42,353,137,89,8770,587,33,2996,152,32,55,71.45,18923,13520,1.71,0.02,0.61,231,3,82
CATAMARCA_CAPAYAN,"Capayan, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,2.7,1,0.55,75.1,5.43,0.24,13.25,1.05,0.31,0.39,217,80,44,6032,436,19,1064,84,25,31,74.3,11100,8247,1.96,0,0.64,162,0,53
CATAMARCA_CAPITAL,"Capital, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,6.82,3.41,1.31,61.58,6.76,0.52,17.37,1.89,0.29,0.05,5148,2576,990,46498,5101,395,13119,1429,218,40,71.74,108477,77823,1.64,0.1,1.22,1280,80,949
CATAMARCA_EL ALTO,"El Alto, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,1.93,0.73,0.52,65.11,4.04,0.13,26.56,0.82,0.04,0.13,45,17,12,1515,94,3,618,19,1,3,70.02,3399,2380,1.93,0,0.29,46,0,7
CATAMARCA_FRAY MAMERTO ESQUIU,"Fray Mamerto Esquiu, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,4.28,2.04,0.92,67.79,4.66,0.22,18.45,1.24,0.19,0.19,289,138,62,4578,315,15,1246,84,13,13,78.39,8832,6923,1.69,0.01,0.75,117,1,52
CATAMARCA_LA PAZ,"La Paz, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,2.11,1,0.35,70.89,4.36,0.17,19.74,0.99,0.15,0.24,238,113,39,8007,493,19,2230,112,17,27,72.4,15989,11576,1.83,0.02,0.58,212,2,67
CATAMARCA_PACLIN,"Paclin, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,2,1,0.93,64.74,2.3,0.19,27.99,0.52,0.07,0.26,54,27,25,1746,62,5,755,14,2,7,77.24,3576,2762,2.1,0,0.25,58,0,7
CATAMARCA_POMAN,"Poman, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,2.05,1.35,0.55,66.48,3.69,0.26,23.84,1.01,0.26,0.52,111,73,30,3605,200,14,1293,55,14,28,77.24,7193,5556,1.94,0,0.45,108,0,25
CATAMARCA_SANTA MARIA,"Santa Maria, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,3.44,2.32,0.94,59.68,6.4,0.76,24.23,1.68,0.18,0.37,398,268,109,6906,740,88,2804,194,21,43,70.92,16761,11887,1.77,0.03,0.87,210,3,103
CATAMARCA_SANTA ROSA,"Santa Rosa, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,2.09,1.35,0.43,71.43,5.54,0.15,17,1.17,0.33,0.5,125,81,26,4277,332,9,1018,70,20,30,69.61,8890,6188,2.62,0,0.61,162,0,38
CATAMARCA_TINOGASTA,"Tinogasta, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,3.62,1.28,0.51,60.65,4.8,0.41,27.06,1.13,0.25,0.3,392,139,55,6576,521,44,2934,123,27,32,71.42,15602,11143,1.66,0.01,1.02,185,1,114
CATAMARCA_VALLE VIEJO,"Valle Viejo, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,4.8,2.53,1.33,62.38,3.92,0.58,22.45,1.5,0.23,0.27,676,357,188,8791,552,82,3164,211,33,38,76.48,18918,14468,1.53,0.04,1.03,221,6,149
CHACO_12 DE OCTUBRE,"12 De Octubre, Chaco",ALIANZA FRENTE PARA LA VICTORIA,1.29,1.41,0.39,55.9,4.86,0.14,34.23,1.02,0.06,0.7,159,174,48,6907,601,17,4230,126,8,87,78.63,15955,12546,1.14,0.05,0.32,143,6,40
CHACO_2 DE ABRIL,"2 De Abril, Chaco",ALIANZA FRENTE PARA LA VICTORIA,1.5,1.58,0.37,54.88,10.73,0.12,28.66,1.87,0.12,0.15,61,64,15,2225,435,5,1162,76,5,6,76.66,5373,4119,1.55,0.02,0,64,1,0
CHACO_25 DE MAYO,"25 De Mayo, Chaco",ALIANZA FRENTE PARA LA VICTORIA,2.69,1.21,0.35,67.73,5.1,0.1,21.25,1.25,0.13,0.19,406,183,53,10230,771,15,3209,189,20,28,74.91,20446,15316,0.93,0.02,0.44,142,3,67
CHACO_9 DE JULIO,"9 De Julio, Chaco",ALIANZA FRENTE PARA LA VICTORIA,1.48,1.7,0.33,59.32,7.41,0.18,27.96,1.37,0.07,0.18,240,276,53,9623,1202,29,4536,222,12,29,78.37,21028,16480,0.9,0.1,0.57,148,16,94
CHACO_ALMIRANTE BROWN,"Almirante Brown, Chaco",ALIANZA FRENTE PARA LA VICTORIA,1.53,0.78,0.31,71.52,4.75,0.08,19.81,0.99,0.07,0.15,255,129,52,11883,790,14,3291,165,12,25,72.58,23201,16839,0.94,0.02,0.37,158,3,62
CHACO_BERMEJO,"Bermejo, Chaco",ALIANZA FRENTE PARA LA VICTORIA,2.01,1.36,0.43,70.56,4.55,0.27,18.83,1.67,0.17,0.17,303,204,64,10613,684,41,2832,251,25,25,74.14,20664,15321,1.21,0.01,0.6,185,2,92
CHACO_CHACABUCO,"Chacabuco, Chaco",ALIANZA FRENTE PARA LA VICTORIA,2.89,5.02,0.6,56.54,10.08,0.13,21.69,2.73,0.14,0.17,490,852,102,9595,1711,22,3681,463,24,29,79.14,21808,17259,1.11,0.02,0.56,191,3,96
CHACO_COMANDANTE FERNANDEZ,"Comandante Fernandez, Chaco",ALIANZA FRENTE PARA LA VICTORIA,4.15,3.52,0.75,55.11,9.36,0.31,22.23,3.79,0.2,0.57,1986,1681,359,26352,4473,149,10631,1812,98,273,75.38,65036,49025,1.19,0.1,1.19,581,47,583
CHACO_FRAY JUSTO SANTA MARIA DE ORO,"Fray J. Sta. Maria De Oro, Chaco",ALIANZA FRENTE PARA LA VICTORIA,0.92,1.92,0.26,67.63,3.65,0.08,24.69,0.73,0.05,0.08,60,126,17,4432,239,5,1618,48,3,5,76.71,8645,6632,0.87,0.02,0.3,58,1,20
CHACO_GENERAL BELGRANO,"General Belgrano, Chaco",ALIANZA FRENTE PARA LA VICTORIA,1.03,1.59,0.23,74.91,5.94,0.1,14.73,1.1,0.26,0.1,59,91,13,4291,340,6,844,63,15,6,73.98,7854,5810,1.17,0,0.24,68,0,14
CHACO_GENERAL DONOVAN,"General Donovan, Chaco",ALIANZA FRENTE PARA LA VICTORIA,1.61,1.21,0.44,69.87,4.68,0.3,19.9,1.79,0.14,0.06,135,102,37,5866,393,25,1671,150,12,5,82.06,10382,8519,0.85,0.14,0.46,72,12,39
CHACO_GENERAL GUEMES,"General Guemes, Chaco",ALIANZA FRENTE PARA LA VICTORIA,1.71,1.17,0.27,67.59,4.14,0.15,23.49,1.14,0.12,0.22,619,423,98,24395,1496,53,8477,412,42,79,74.88,48981,36679,1.04,0.02,0.53,381,8,196
CHACO_INDEPENDENCIA,"Independencia, Chaco",ALIANZA FRENTE PARA LA VICTORIA,1.29,0.78,0.26,66.96,5.38,0.07,23.96,1.08,0.09,0.14,151,91,30,7830,629,8,2802,126,11,16,77.04,15407,11870,1.25,0.02,0.22,148,2,26
CHACO_LIBERTADOR GENERAL SAN MARTIN,"Lib. Gral. San Martin, Chaco",ALIANZA FRENTE PARA LA VICTORIA,2.64,1.32,0.34,65.2,4.39,0.21,24.3,1.3,0.11,0.21,846,422,109,20918,1409,67,7795,416,35,66,75.68,43152,32657,1.03,0.07,0.66,335,23,216
CHACO_LIBERTAD,"Libertad, Chaco",ALIANZA FRENTE PARA LA VICTORIA,1.94,1.7,0.66,64.99,6.14,0.29,22.26,1.71,0.21,0.1,136,119,46,4549,430,20,1558,120,15,7,85.1,8383,7134,1.53,0.04,0.31,109,3,22
CHACO_MAIPU,"Maipu, Chaco",ALIANZA FRENTE PARA LA VICTORIA,1.45,1.24,0.49,59.3,6.61,0.09,29.52,1.06,0.12,0.13,179,152,60,7298,813,11,3633,130,15,16,72.01,17343,12488,1.07,0,0.38,133,0,48
CHACO_MAYOR LUIS J. FONTANA,"Mayor L. J. Fontana, Chaco",ALIANZA FRENTE PARA LA VICTORIA,2.1,3.29,0.46,62.04,8.57,0.27,20.19,2.42,0.23,0.43,654,1028,142,19358,2675,83,6298,756,72,135,78.08,41057,32056,1.46,0.87,0.33,469,279,107
CHACO_O'HIGGINS,"O'Higgins, Chaco",ALIANZA FRENTE PARA LA VICTORIA,0.91,1.16,0.21,71.51,8.31,0.1,16.42,1.15,0.1,0.13,103,131,24,8094,941,11,1859,130,11,15,74.25,15492,11503,1.06,0.05,0.49,122,6,56
CHACO_PRESIDENCIA DE LA PLAZA,"Pcia. De La Plaza, Chaco",ALIANZA FRENTE PARA LA VICTORIA,1.85,2.04,0.54,61.14,4.77,0.27,28.06,1.09,0.14,0.11,122,135,36,4040,315,18,1854,72,9,7,73.76,9071,6691,0.76,0.06,0.42,51,4,28
CHACO_1° DE MAYO,"Primero De Mayo, Chaco",ALIANZA FRENTE PARA LA VICTORIA,1.76,1.74,0.5,68.72,7.31,0.21,17.15,2.34,0.07,0.2,124,123,35,4848,516,15,1210,165,5,14,84.69,8522,7217,1.41,0.21,0.62,102,15,45
CHACO_QUITILIPI,"Quitilipi, Chaco",ALIANZA FRENTE PARA LA VICTORIA,2.8,2.42,0.45,59.38,8.09,0.19,23.41,2.77,0.19,0.31,485,418,77,10274,1400,33,4051,479,33,53,72.82,24165,17596,1.26,0.01,0.39,222,2,69
CHACO_SAN FERNANDO,"San Fernando, Chaco",ALIANZA FRENTE PARA LA VICTORIA,4.04,4.25,1.34,56.54,7.58,0.67,19.63,5.45,0.22,0.28,9040,9503,2996,126459,16950,1494,43894,12197,495,621,81.29,283687,230623,1.32,0.13,1.57,3054,291,3629
CHACO_SAN LORENZO,"San Lorenzo, Chaco",ALIANZA FRENTE PARA LA VICTORIA,1.16,0.99,0.31,70.08,4.04,0.1,22.15,0.8,0.19,0.18,97,83,26,5866,338,8,1854,67,16,15,76.79,11001,8448,0.62,0.07,0.24,52,6,20
CHACO_SARGENTO CABRAL,"Sargento Cabral, Chaco",ALIANZA FRENTE PARA LA VICTORIA,1.9,1.34,0.26,71.7,3.42,0.26,19.61,1.16,0.1,0.25,182,129,25,6882,328,25,1882,111,10,24,77.82,12523,9746,1.19,0.01,0.32,116,1,31
CHACO_TAPENAGA,"Tapenaga, Chaco",ALIANZA FRENTE PARA LA VICTORIA,0.49,0.59,0,62.89,3.35,0,31.89,0.69,0.05,0.05,10,12,0,1278,68,0,648,14,1,1,84.33,2712,2287,0.7,10.01,0.44,16,229,10
