id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,FRENTE PATRIOTA_perc,JUNTOS POR EL CAMBIO_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,PARTIDO AUTONOMISTA_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,FRENTE PATRIOTA_votos,JUNTOS POR EL CAMBIO_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,PARTIDO AUTONOMISTA_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
BUENOS AIRES_OLAVARRIA,"Olavarria, Buenos Aires",FRENTE DE TODOS,13.74,3.26,41.5,1.7,0.2,36.55,0.77,0.1,0.09,2.08,8998,2137,27171,1112,134,23936,507,66,60,1359,71.94,94933,68296,3.14,0.11,0.87,2146,74,596
BUENOS AIRES_PATAGONES,"Patagones, Buenos Aires",FRENTE DE TODOS,5.45,2.09,49.74,4.72,0.18,35.23,0.51,0.09,0.14,1.87,981,376,8954,849,32,6342,91,16,25,337,72.43,26330,19072,4.49,0.41,0.7,857,79,133
BUENOS AIRES_PEHUAJO,"Pehuajo, Buenos Aires",FRENTE DE TODOS,5.13,2.06,50.23,0.79,0.32,39.61,0.39,0.16,0.07,1.24,1234,495,12075,191,76,9523,93,39,16,299,73.26,34678,25404,4.4,0.18,0.79,1118,45,200
BUENOS AIRES_PELLEGRINI,"Pellegrini, Buenos Aires",JUNTOS POR EL CAMBIO,6.2,1.48,41.22,0.79,0.21,47.79,0.76,0.18,0.15,1.21,205,49,1362,26,7,1579,25,6,5,40,69.97,5098,3567,7.06,0.14,0.17,252,5,6
BUENOS AIRES_PERGAMINO,"Pergamino, Buenos Aires",JUNTOS POR EL CAMBIO,9.61,2.18,38.86,1.98,0.19,43.19,0.52,0.09,0.08,3.3,6137,1395,24818,1266,120,27581,330,56,48,2107,74.11,89830,66573,2.88,0.2,1,1914,133,668
BUENOS AIRES_PILA,"Pila, Buenos Aires",FRENTE DE TODOS,5.39,1.45,51.93,0.84,0.12,38.33,0.52,0.04,0.08,1.29,134,36,1291,21,3,953,13,1,2,32,82.21,3237,2661,5.98,0.3,0.3,159,8,8
BUENOS AIRES_PILAR,"Pilar, Buenos Aires",FRENTE DE TODOS,7.14,2.98,52.45,2.84,0.18,31.66,0.63,0,0.11,2.02,9314,3883,68421,3703,233,41293,823,0,145,2631,76,178855,135925,3.17,0.15,0.71,4311,205,963
BUENOS AIRES_PINAMAR,"Pinamar, Buenos Aires",JUNTOS POR EL CAMBIO,9.5,2.4,40.79,1.42,0.18,41.5,0.64,0.07,0.1,3.41,1553,392,6667,232,29,6783,104,11,17,557,68.8,25222,17352,4.37,0.16,1.27,758,28,221
BUENOS AIRES_PRESIDENTE PERON,"Presidente Peron, Buenos Aires",FRENTE DE TODOS,5.01,3.39,70.34,1.64,0.24,17.41,0.5,0.13,0.08,1.25,2219,1504,31176,727,108,7718,222,58,36,556,76.32,62320,47562,5.73,0.18,0.9,2724,85,429
BUENOS AIRES_PUAN,"Puan, Buenos Aires",JUNTOS POR EL CAMBIO,5.87,4.08,30.57,0.69,0.27,55.19,0.56,0.21,0.1,2.47,590,410,3071,69,27,5545,56,21,10,248,74.16,14373,10659,4.43,0.34,0.98,472,36,104
BUENOS AIRES_PUNTA INDIO,"Punta Indio, Buenos Aires",FRENTE DE TODOS,6.87,2.24,45.79,2.13,0.3,40.15,0.62,0.09,0.13,1.68,475,155,3167,147,21,2777,43,6,9,116,77.81,9261,7206,3.26,0.07,0.69,235,5,50
BUENOS AIRES_QUILMES,"Quilmes, Buenos Aires",FRENTE DE TODOS,8.27,3.56,55.96,1.49,0.27,27.89,0.8,0.09,0.08,1.61,26804,11532,181453,4823,862,90426,2578,280,255,5215,73.42,457179,335645,2.74,0.14,0.53,9180,456,1781
BUENOS AIRES_RAMALLO,"Ramallo, Buenos Aires",FRENTE DE TODOS,7.74,2.61,50.29,1.12,0.21,35.73,0.47,0.15,0.08,1.61,1660,559,10791,241,45,7666,100,32,17,346,79.23,28300,22422,4.01,0.04,0.25,900,8,57
BUENOS AIRES_RAUCH,"Rauch, Buenos Aires",FRENTE DE TODOS,5.34,4.42,47.1,1.22,0.14,39.81,0.43,0.07,0.09,1.38,511,423,4508,117,13,3811,41,7,9,132,75.15,13668,10272,6.24,0.23,0.34,641,24,35
BUENOS AIRES_RIVADAVIA,"Rivadavia, Buenos Aires",FRENTE DE TODOS,5.79,1.37,44.76,0.84,0.24,44.32,0.45,0.16,0.05,2.03,597,141,4614,87,25,4569,46,16,5,209,78.42,14121,11074,6.47,0.14,0.3,716,16,33
BUENOS AIRES_ROJAS,"Rojas, Buenos Aires",JUNTOS POR EL CAMBIO,6.14,1.6,43.03,0.56,0.29,45.37,0.66,0.1,0.06,2.18,946,247,6626,87,44,6987,102,16,9,336,79.01,20497,16195,4.06,0.16,0.69,658,26,111
BUENOS AIRES_ROQUE PEREZ,"Roque Perez, Buenos Aires",JUNTOS POR EL CAMBIO,4.76,2.04,43.17,0.63,0.09,47.43,0.36,0.1,0.12,1.31,371,159,3363,49,7,3695,28,8,9,102,75.38,10874,8197,4.1,0.18,0.67,336,15,55
BUENOS AIRES_SAAVEDRA,"Saavedra, Buenos Aires",JUNTOS POR EL CAMBIO,6.44,2.27,34.86,2.47,0.16,50.44,0.56,0.11,0.09,2.6,784,276,4242,300,20,6138,68,13,11,317,71.07,18154,12902,4.15,0.26,1.28,535,33,165
BUENOS AIRES_SALADILLO,"Saladillo, Buenos Aires",JUNTOS POR EL CAMBIO,7.69,2.06,38.7,1.1,0.17,47.41,0.4,0.16,0.1,2.21,1479,397,7448,212,33,9123,77,31,19,425,72.58,27886,20239,3.89,0.21,0.82,787,43,165
BUENOS AIRES_SALLIQUELO,"Salliquelo, Buenos Aires",JUNTOS POR EL CAMBIO,6.85,1.21,41.04,0.7,0.08,47.95,0.23,0.13,0.08,1.74,362,64,2168,37,4,2533,12,7,4,92,76.51,7701,5892,9.66,0.27,0.41,569,16,24
BUENOS AIRES_SALTO,"Salto, Buenos Aires",FRENTE DE TODOS,5.48,3.33,47.53,2.08,0.22,39.07,0.52,0.12,0.06,1.58,1186,721,10279,449,47,8450,112,27,13,342,78.5,28705,22532,3.52,0.12,0.38,794,27,85
BUENOS AIRES_SAN ANDRES DE GILES,"San Andres De Giles, Buenos Aires",FRENTE DE TODOS,7.13,1.74,45.74,1.74,0.19,41.35,0.46,0.15,0.15,1.34,1029,251,6599,251,28,5965,66,22,22,193,79.19,19528,15464,6.38,0.15,0.19,986,23,29
BUENOS AIRES_SAN ANTONIO DE ARECO,"San Antonio De Areco, Buenos Aires",FRENTE DE TODOS,4.85,2.34,44.8,2.25,0.18,43.33,0.35,0.11,0.09,1.7,723,349,6685,336,27,6465,52,17,13,254,78.8,19847,15640,3.73,0.11,0.75,584,17,118
BUENOS AIRES_SAN CAYETANO,"San Cayetano, Buenos Aires",JUNTOS POR EL CAMBIO,6.79,1.39,34.29,1.18,0.19,54.12,0.5,0.04,0.08,1.43,352,72,1778,61,10,2806,26,2,4,74,75.83,7245,5494,5.06,0.04,0.53,278,2,29
BUENOS AIRES_SAN FERNANDO,"San Fernando, Buenos Aires",FRENTE DE TODOS,9.3,3.55,50.04,1.88,0.22,31.93,0.84,0.01,0.09,2.15,8831,3368,47495,1780,212,30304,802,5,84,2037,75.93,129382,98245,2.89,0.08,0.41,2844,76,407
BUENOS AIRES_SAN ISIDRO,"San Isidro, Buenos Aires",JUNTOS POR EL CAMBIO,7.72,3.47,31.52,1.89,0.23,51.04,0.9,0,0.07,3.16,15388,6921,62799,3761,453,101700,1801,7,141,6291,75.2,273815,205913,2.33,0.19,0.71,4805,389,1457
BUENOS AIRES_SAN MIGUEL,"San Miguel, Buenos Aires",FRENTE DE TODOS,7.29,3.58,51.46,2.51,0.19,32.15,0.84,0,0.08,1.89,12161,5966,85804,4187,324,53600,1393,2,139,3150,75.5,230201,173810,3.17,0.16,0.75,5508,276,1300
BUENOS AIRES_SAN NICOLAS,"San Nicolas, Buenos Aires",FRENTE DE TODOS,9.62,2.56,47.54,3.31,0.22,33.52,0.61,0.1,0.11,2.42,8565,2275,42313,2942,193,29830,542,92,96,2150,75.99,122244,92896,3.55,0.04,0.61,3295,40,563
BUENOS AIRES_SAN PEDRO,"San Pedro, Buenos Aires",FRENTE DE TODOS,8.54,2.33,46.6,1.92,0.22,37.68,0.64,0.11,0.12,1.83,3090,844,16855,693,78,13627,233,41,44,663,76.94,49329,37955,3.8,0.11,0.8,1442,40,305
BUENOS AIRES_SAN VICENTE,"San Vicente, Buenos Aires",FRENTE DE TODOS,7.99,2.74,59.21,1.37,0.25,26.03,0.64,0.14,0.12,1.5,2957,1016,21925,507,93,9640,237,52,45,556,70.7,55698,39377,4.97,0.25,0.75,1957,97,295
BUENOS AIRES_SUIPACHA,"Suipacha, Buenos Aires",FRENTE DE TODOS,5.24,1.46,52.73,0.89,0.03,38.02,0.36,0,0.09,1.18,363,101,3655,62,2,2635,25,0,6,82,78.1,9273,7242,3.53,0.54,0.22,256,39,16
BUENOS AIRES_TANDIL,"Tandil, Buenos Aires",JUNTOS POR EL CAMBIO,9.91,3.11,39.84,1.9,0.22,41.2,0.87,0.13,0.08,2.74,7698,2413,30949,1476,173,32005,672,101,66,2125,75.56,107240,81026,3.01,0.15,0.98,2438,118,792
BUENOS AIRES_TAPALQUE,"Tapalque, Buenos Aires",FRENTE DE TODOS,5.83,1.51,52.24,1.3,0.19,37.51,0.37,0.1,0.11,0.84,367,95,3288,82,12,2361,23,6,7,53,77.81,8525,6633,4.42,0.2,0.5,293,13,33
BUENOS AIRES_TIGRE,"Tigre, Buenos Aires",FRENTE DE TODOS,8.04,4.17,50.88,2.42,0.22,31.18,0.84,0,0.14,2.1,18046,9358,114157,5430,503,69948,1881,6,314,4701,76.32,304991,232770,2.85,0.13,0.64,6635,307,1484
BUENOS AIRES_TORDILLO,"Tordillo, Buenos Aires",FRENTE DE TODOS,3.11,0.75,50.59,2.49,0.31,42,0.06,0.06,0.06,0.56,50,12,813,40,5,675,1,1,1,9,84.17,2085,1755,7.01,0.4,1.03,123,7,18
BUENOS AIRES_TORNQUIST,"Tornquist, Buenos Aires",JUNTOS POR EL CAMBIO,6.44,2.74,38.59,2.36,0.24,46.86,0.56,0.11,0.07,2.04,587,250,3518,215,22,4272,51,10,6,186,72.57,13235,9605,4.25,0.22,0.61,408,21,59
BUENOS AIRES_TRENQUE LAUQUEN,"Trenque Lauquen, Buenos Aires",JUNTOS POR EL CAMBIO,6.36,1.98,43.75,1.48,0.21,43.78,0.66,0.1,0.1,1.58,1730,538,11896,402,56,11903,180,28,28,429,72.83,39283,28611,4.16,0.19,0.62,1190,53,178
BUENOS AIRES_TRES ARROYOS,"Tres Arroyos, Buenos Aires",FRENTE DE TODOS,7.56,2.89,47.8,1.82,0.18,36.84,0.64,0.06,0.07,2.15,2678,1022,16928,643,65,13046,228,22,24,761,72.51,51787,37553,4.78,0.2,0.71,1795,75,266
BUENOS AIRES_TRES DE FEBRERO,"Tres De Febrero, Buenos Aires",FRENTE DE TODOS,9.74,4.23,48.52,2.34,0.27,31.44,0.98,0.01,0.09,2.38,19734,8562,98311,4736,555,63699,1987,22,190,4823,75.46,277545,209437,2.16,0.23,0.86,4532,484,1802
BUENOS AIRES_TRES LOMAS,"Tres Lomas, Buenos Aires",FRENTE DE TODOS,4.68,1.72,52.98,2.31,0.17,36.04,0.31,0.08,0.08,1.62,223,82,2523,110,8,1716,15,4,4,77,77.31,6583,5089,5.68,0.35,0.39,289,18,20
BUENOS AIRES_VICENTE LOPEZ,"Vicente Lopez, Buenos Aires",JUNTOS POR EL CAMBIO,10.09,4.22,28.87,1.34,0.21,50.51,1.14,0,0.1,3.51,16986,7098,48589,2260,358,85002,1920,1,165,5907,76.37,227564,173799,2.11,0.21,0.85,3671,368,1474
BUENOS AIRES_VILLA GESELL,"Villa Gesell, Buenos Aires",FRENTE DE TODOS,6.53,3.07,49.33,2.86,0.13,35.68,0.53,0.01,0.08,1.78,1246,586,9407,545,25,6804,101,1,15,340,70,28486,19941,3.3,0.24,0.83,658,48,165
BUENOS AIRES_VILLARINO,"Villarino, Buenos Aires",JUNTOS POR EL CAMBIO,5.78,2.35,39.79,1.26,0.24,46.84,0.68,0.21,0.17,2.67,837,341,5765,182,35,6786,99,31,24,387,73.21,23625,17295,15.34,0.16,0.73,2653,28,127
BUENOS AIRES_ZARATE,"Zarate, Buenos Aires",FRENTE DE TODOS,7.11,3.45,55.03,1.81,0.31,29.29,0.74,0.14,0.11,2.02,5009,2429,38744,1274,215,20620,521,99,79,1421,77.93,95309,74275,4.51,0.12,0.58,3347,89,428
CATAMARCA_AMBATO,"Ambato, Catamarca",FRENTE DE TODOS,12.02,0.59,65.42,0.14,0.06,21.44,0.14,0.2,0,0,430,21,2340,5,2,767,5,7,0,0,81.02,4932,3996,9.86,0.4,0.23,394,16,9
CATAMARCA_ANCASTI,"Ancasti, Catamarca",FRENTE DE TODOS,0.79,1.04,60.87,0.37,0.18,36.2,0.43,0.12,0,0,13,17,997,6,3,593,7,2,0,0,71.5,2747,1964,15.12,0.81,0.66,297,16,13
CATAMARCA_ANTOFAGASTA DE LA SIERRA,"Antofagasta de la Sierra, Catamarca",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CATAMARCA_SANTA MARIA,"Santa Maria, Catamarca",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHACO_PRESIDENCIA DE LA PLAZA,Presidencia de la Plaza,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CATAMARCA_ANDALGALA,"Andalgala, Catamarca",FRENTE DE TODOS,5.48,1.07,58.42,0.97,0.18,33.5,0.28,0.1,0,0,486,95,5185,86,16,2973,25,9,0,0,63.81,15379,9814,8.92,0.17,0.48,875,17,47
CATAMARCA_BELEN,"Belen, Catamarca",FRENTE DE TODOS,3.54,0.83,57.21,0.69,0.2,36.91,0.42,0.18,0.01,0.01,502,118,8106,98,28,5230,60,25,1,2,71.9,21715,15613,8.26,0.12,0.87,1289,18,136
CATAMARCA_CAPAYAN,"Capayan, Catamarca",FRENTE DE TODOS,3.46,0.66,78.65,0.43,0.11,16.17,0.35,0.12,0.02,0.02,285,54,6477,35,9,1332,29,10,2,2,62.85,14192,8919,6.75,0.26,0.66,602,23,59
CATAMARCA_CAPITAL,"Capital, Catamarca",FRENTE DE TODOS,9.26,2.08,58.08,1.52,0.27,27.89,0.48,0.2,0,0.21,6824,1529,42785,1121,198,20545,357,148,1,158,60.46,132697,80232,6.65,0.27,1.27,5333,213,1020
CATAMARCA_EL ALTO,"El Alto, Catamarca",FRENTE DE TODOS,3.13,0.42,72.91,0.69,0.15,22.09,0.53,0.08,0,0,82,11,1908,18,4,578,14,2,0,0,74.41,3869,2879,7.95,0.59,0.56,229,17,16
CATAMARCA_FRAY MAMERTO ESQUIU,"Fray Mamerto Esquiu, Catamarca",FRENTE DE TODOS,6.44,1.47,58.61,1.29,0.29,31.35,0.38,0.12,0.01,0.03,473,108,4302,95,21,2301,28,9,1,2,73.77,11133,8213,9.23,0.37,1.03,758,30,85
CATAMARCA_LA PAZ,"La Paz, Catamarca",FRENTE DE TODOS,6.08,0.47,68.62,0.98,0.16,23.4,0.21,0.07,0,0.02,726,56,8196,117,19,2795,25,8,0,2,65.46,20042,13119,8.2,0.18,0.57,1076,24,75
CATAMARCA_PACLIN,"Paclin, Catamarca",FRENTE DE TODOS,2.31,0.34,64.35,0.25,0.08,32.32,0.17,0.17,0,0,55,8,1531,6,2,769,4,4,0,0,71.01,3857,2739,12.6,0.22,0.33,345,6,9
CATAMARCA_POMAN,"Poman, Catamarca",FRENTE DE TODOS,1.93,0.57,74.47,1.08,0.05,21.55,0.22,0.13,0,0,122,36,4703,68,3,1361,14,8,0,0,75.72,8938,6768,6.38,0.18,0.13,432,12,9
CATAMARCA_SANTA ROSA,"Santa Rosa, Catamarca",FRENTE DE TODOS,3.5,0.52,78.9,0.77,0.12,15.72,0.26,0.12,0,0.1,242,36,5457,53,8,1087,18,8,0,7,73.03,10244,7481,6.36,0.31,0.88,476,23,66
CATAMARCA_TINOGASTA,"Tinogasta, Catamarca",FRENTE DE TODOS,7.19,0.75,61.9,0.56,0.19,28.94,0.31,0.16,0,0.01,775,81,6673,60,21,3120,33,17,0,1,64.08,18516,11865,8.08,0.19,0.87,959,22,103
CATAMARCA_VALLE VIEJO,"Valle Viejo, Catamarca",FRENTE DE TODOS,6.6,2.12,58.82,1.18,0.2,30.3,0.57,0.17,0.01,0.02,1034,332,9210,185,32,4745,89,27,2,3,66.39,25155,16700,5.09,0.25,0.9,850,41,150
CHACO_12 DE OCTUBRE,"12 De Octubre, Chaco",FRENTE DE TODOS,3.15,0.56,66.34,2,0.14,26.61,0.27,0.09,0.1,0.74,291,52,6130,185,13,2459,25,8,9,68,65.81,14676,9658,3.41,0.14,0.78,329,14,75
CHACO_2 DE ABRIL,"2 De Abril, Chaco",FRENTE DE TODOS,1.82,0.62,58.15,7.59,0.16,30.49,0.14,0.23,0.11,0.71,80,27,2552,333,7,1338,6,10,5,31,72.81,6355,4627,4.39,0,0.76,203,0,35
CHACO_25 DE MAYO,"25 De Mayo, Chaco",FRENTE DE TODOS,1.79,0.56,72.8,2.07,0.13,21.48,0.17,0.12,0.04,0.84,294,92,11969,341,21,3532,28,19,7,138,68.23,25134,17149,3.32,0.18,0.62,570,31,107
CHACO_9 DE JULIO,"9 De Julio, Chaco",FRENTE DE TODOS,3.43,0.66,63.62,2.25,0.17,28.02,0.3,0.1,0.08,1.36,534,103,9900,350,27,4360,46,15,13,212,66.9,24528,16409,3.84,0.39,0.94,630,64,155
CHACO_ALMIRANTE BROWN,"Almirante Brown, Chaco",FRENTE DE TODOS,0.95,0.18,73.96,6.03,0.04,18.45,0.14,0.07,0,0.19,54,10,4217,344,2,1052,8,4,0,11,73.05,8322,6079,5.35,0.03,0.82,325,2,50
CHACO_BERMEJO,"Bermejo, Chaco",FRENTE DE TODOS,2.13,1.05,76.07,2.04,0.16,17.31,0.24,0.21,0.07,0.72,282,139,10080,270,21,2294,32,28,9,96,73.53,19376,14248,6.31,0.2,0.48,899,29,69
CHACO_CHACABUCO,"Chacabuco, Chaco",FRENTE DE TODOS,2.99,1,55.15,4.59,0.11,34.66,0.34,0.1,0.1,0.97,533,178,9823,818,19,6174,60,18,18,172,70.26,26843,18860,4.51,0.1,0.94,851,19,177
CHACO_COMANDANTE FERNANDEZ,"Comandante Fernandez , Chaco",FRENTE DE TODOS,3.58,1.33,53.88,4.43,0.24,34.05,0.41,0.17,0.12,1.79,1910,707,28735,2362,130,18158,216,92,66,956,68.91,83214,57339,5.44,0.18,1.37,3120,101,786
CHACO_FRAY JUSTO SANTA MARIA DE ORO,"Fray Justo Sta. Maria De Oro, Chaco",FRENTE DE TODOS,1.5,0.42,61.92,8.45,0.06,26.88,0.11,0.04,0.04,0.57,71,20,2930,400,3,1272,5,2,2,27,67.1,7469,5012,5.07,0.1,0.42,254,5,21
CHACO_GENERAL BELGRANO,"General Belgrano, Chaco",JUNTOS POR EL CAMBIO,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,33.33,3,1,0,0,0,0,0,0
CHACO_GENERAL DONOVAN,"General Donovan, Chaco",FRENTE DE TODOS,2.19,0.53,71.48,2.22,0.08,22.01,0.26,0.16,0.18,0.9,83,20,2709,84,3,834,10,6,7,34,68.96,6167,4253,9.43,0,1.46,401,0,62
CHACO_GENERAL GUEMES,"General Guemes, Chaco",FRENTE DE TODOS,1.48,0.61,73.06,4.3,0.12,19.21,0.23,0.15,0.1,0.74,622,254,30667,1805,52,8063,96,61,42,311,64.63,68942,44555,4.87,0.13,0.8,2170,57,355
CHACO_INDEPENDENCIA,"Independencia, Chaco",FRENTE DE TODOS,3.91,0.29,74.6,6.77,0.09,13.46,0.26,0.03,0.12,0.46,256,19,4879,443,6,880,17,2,8,30,71.66,9657,6920,5.22,0.01,0.26,361,1,18
CHACO_LIBERTAD,"Libertad, Chaco",FRENTE DE TODOS,2.75,1.43,70.18,2.24,0.28,20.95,0.22,0.1,0.12,1.71,223,116,5690,182,23,1699,18,8,10,139,78.29,11234,8795,7.21,0.09,0.51,634,8,45
CHACO_LIBERTADOR GENERAL SAN MARTIN,"Libertador Gral. San Martin, Chaco",FRENTE DE TODOS,2.9,0.73,68.16,1.74,0.13,24.82,0.27,0.14,0.08,1.03,767,194,18023,459,34,6564,71,37,22,272,73.25,38323,28073,4.62,0.21,0.98,1297,58,275
CHACO_MAIPU,"Maipu, Chaco",FRENTE DE TODOS,1.66,2.07,67.47,3.71,0.65,23.4,0.24,0.05,0.16,0.6,161,201,6561,361,63,2276,23,5,16,58,67.46,15238,10280,4.85,0.08,0.47,499,8,48
CHACO_MAYOR LUIS J. FONTANA,"Mayor L. J. Fontana, Chaco",FRENTE DE TODOS,3.19,1.22,59.91,7.22,0.31,26.2,0.36,0.15,0.16,1.29,674,257,12661,1525,66,5537,76,32,34,273,68.99,33378,23029,7.3,0.07,0.86,1682,15,197
CHACO_O'HIGGINS,"O'Higgins, Chaco",FRENTE DE TODOS,1.41,0.38,76.22,3.57,0.05,17.61,0.17,0.06,0.02,0.5,160,43,8646,405,6,1998,19,7,2,57,70.28,17061,11990,4.64,0.1,0.66,556,12,79
CHACO_1° DE MAYO,"Primero De Mayo, Chaco",FRENTE DE TODOS,3.29,0.69,65.8,2.53,0.25,25.08,0.4,0.9,0.1,0.97,240,50,4802,185,18,1830,29,66,7,71,73.87,10651,7868,5.94,0.09,1.22,467,7,96
CHACO_QUITILIPI,"Quitilipi, Chaco",FRENTE DE TODOS,5.14,0.89,59.95,2.21,0.22,29.9,0.2,0.08,0.03,1.37,184,32,2145,79,8,1070,7,3,1,49,67.25,5576,3750,4.13,0.03,0.43,155,1,16
CHACO_SAN FERNANDO,"San Fernando, Chaco",FRENTE DE TODOS,5.03,2.13,52.16,6.77,0.3,30.17,0.47,0.19,0.15,2.62,11316,4777,117240,15225,674,67806,1056,422,342,5899,73.19,341160,249683,7.97,0.26,1.76,19889,652,4385
CHACO_SAN LORENZO,"San Lorenzo , Chaco",FRENTE DE TODOS,1.47,0.51,77.17,4.35,0.28,15.41,0.19,0.1,0.08,0.44,121,42,6364,359,23,1271,16,8,7,36,65.56,13173,8636,4.03,0.12,0.36,348,10,31
CHACO_SARGENTO CABRAL,"Sargento Cabral , Chaco",FRENTE DE TODOS,2.14,2.18,75.13,1.87,0.11,17.33,0.31,0.08,0.08,0.77,56,57,1964,49,3,453,8,2,2,20,68.6,4064,2788,6.03,0.11,0.11,168,3,3
CHACO_TAPENAGA,"Tapenaga, Chaco",FRENTE DE TODOS,6.69,0.21,65.36,3.86,0,23.57,0.21,0,0,0.1,130,4,1270,75,0,458,4,0,0,2,70.64,2926,2067,4.93,0.58,0.48,102,12,10
CHUBUT_BIEDMA,"Biedma, Chubut",FRENTE DE TODOS,10.53,4.22,51.87,5.83,0.4,22.54,1.11,0.3,0.22,2.99,5226,2094,25756,2896,199,11190,549,150,108,1485,73.48,71041,52199,2.31,0.16,2.41,1207,83,1256
CHUBUT_CUSHAMEN,"Cushamen, Chubut",FRENTE DE TODOS,5.93,3.05,64.28,6.5,0.48,17.01,0.87,0.22,0.09,1.59,799,411,8667,877,65,2293,117,29,12,214,70.65,21119,14920,7.15,0.22,2.25,1067,33,336
CHUBUT_ESCALANTE,"Escalante, Chubut",FRENTE DE TODOS,7.35,3.26,56.24,3.26,0.32,25.76,0.81,0.18,0.15,2.66,7455,3311,57040,3303,323,26128,824,181,152,2701,71.08,157100,111669,6.81,0.13,2.23,7608,149,2494
CHUBUT_FLORENTINO AMEGHINO,"F. Ameghino, Chubut",FRENTE DE TODOS,1.43,2.43,67.14,9.48,0,17.97,0.55,0.11,0.11,0.77,13,22,609,86,0,163,5,1,1,7,77.54,1447,1122,14.62,0.18,4.37,164,2,49
CHUBUT_FUTALEUFU,"Futaleufu, Chubut",FRENTE DE TODOS,9.17,4.59,51.23,6.42,0.25,24.01,1.32,0.29,0.23,2.48,2425,1213,13546,1698,65,6348,350,76,61,657,71.6,39234,28092,3.17,0.16,2.55,891,46,716
CHUBUT_GAIMAN,"Gaiman, Chubut",FRENTE DE TODOS,8.32,3.21,50.43,3.6,0.41,31.14,0.87,0.02,0.15,1.86,545,210,3304,236,27,2040,57,1,10,122,73.65,9856,7259,6.94,0.32,2.48,504,23,180
CHUBUT_GASTRE,"Gastre, Chubut",FRENTE DE TODOS,6.53,1.01,71.86,4.52,0,12.06,1.76,0,0,2.26,26,4,286,18,0,48,7,0,0,9,49.77,854,425,3.53,0.24,2.59,15,1,11
CHUBUT_LANGUIÑEO,"Languiñeo, Chubut",FRENTE DE TODOS,3.85,2.33,72.26,2.68,0.23,16.55,1.05,0.47,0.23,0.35,33,20,620,23,2,142,9,4,2,3,62.36,1663,1037,15.81,0.39,1.06,164,4,11
CHUBUT_MARTIRES,"Martires, Chubut",FRENTE DE TODOS,2.95,1.64,69.51,4.26,0.66,18.69,1.31,0,0.33,0.66,9,5,212,13,2,57,4,0,1,2,53.07,618,328,6.1,0.61,0.3,20,2,1
CHUBUT_PASO DE INDIOS,"Paso De Los Indios, Chubut",FRENTE DE TODOS,9.33,1.17,59.98,2.45,0.47,23.34,1.28,0.93,0.7,0.35,80,10,514,21,4,200,11,8,6,3,57.84,1601,926,5.18,0,2.27,48,0,21
CHUBUT_RAWSON,"Rawson, Chubut",FRENTE DE TODOS,10.12,4.39,50.57,5.32,0.38,24.53,1.29,0.32,0.25,2.82,7828,3401,39137,4114,297,18982,995,249,196,2186,74.11,113991,84477,5.54,0.22,2.64,4676,184,2232
CHUBUT_RIO SENGUER,"Rio Senger, Chubut",FRENTE DE TODOS,5.88,2.01,63.63,3.42,0.48,22.03,0.93,0.28,0.24,1.09,146,50,1580,85,12,547,23,7,6,27,56.01,5053,2830,10.78,0.21,1.27,305,6,36
CHUBUT_SARMIENTO,"Sarmiento, Chubut",FRENTE DE TODOS,5.81,1.87,59.37,8.07,0.14,22.55,0.49,0.14,0.03,1.53,341,110,3486,474,8,1324,29,8,2,90,67.9,10067,6835,11.84,0.09,2.17,809,6,148
CHUBUT_TEHUELCHES,"Tehuelches, Chubut",FRENTE DE TODOS,8.96,2.04,66.45,3.97,0.2,16.1,0.81,0.31,0.14,1.02,264,60,1957,117,6,474,24,9,4,30,66.91,5028,3364,11.12,0.15,1.19,374,5,40
CHUBUT_TELSEN,"Telsen, Chubut",FRENTE DE TODOS,6.95,1.99,60.26,4.64,0.66,22.85,1.66,0.33,0,0.66,21,6,182,14,2,69,5,1,0,2,51.53,621,320,3.44,0.62,1.56,11,2,5
