id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE POPULAR_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE POPULAR_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
BUENOS AIRES_ROQUE PEREZ,"Roque Perez, Buenos Aires",Alianza Frente para la Victoria,4.48,9.78,9.09,0.85,51.92,19.68,4.19,326,712,662,62,3780,1433,305,84.62,9241,7820,6.16,0.01,0.73,482,1,57
BUENOS AIRES_SAAVEDRA,"Saavedra, Buenos Aires",Alianza Frente para la Victoria,4.76,21.92,5.43,1.25,47.21,16.78,2.65,622,2863,709,163,6167,2192,346,78.61,17296,13597,2.74,0.05,1.14,373,7,155
BUENOS AIRES_SALADILLO,"Saladillo, Buenos Aires",Alianza Frente para la Victoria,5.8,13.41,12.11,1.42,43.54,22.03,1.71,1045,2417,2183,256,7849,3971,308,81.55,23667,19301,5.88,0.01,0.7,1134,2,136
BUENOS AIRES_SALLIQUELO,"Salliquelo, Buenos Aires",Alianza Frente para la Victoria,5.75,10.96,6.4,0.95,42.21,32.27,1.46,320,610,356,53,2349,1796,81,80.71,7346,5929,5.97,0.02,0.15,354,1,9
BUENOS AIRES_SALTO,"Salto, Buenos Aires",Alianza Frente para la Victoria,7.94,17.01,11.69,1.55,49.43,10.06,2.32,1570,3365,2311,306,9776,1990,459,81.55,25092,20463,3.14,0.01,0.2,643,2,41
BUENOS AIRES_SAN ANDRES DE GILES,"San Andres De Giles, Buenos Aires",Alianza Frente para la Victoria,8.14,15.46,4.69,1.58,53.11,15.86,1.16,1023,1942,589,198,6672,1992,146,83.89,15731,13197,4.6,0.03,0.18,607,4,24
BUENOS AIRES_SAN ANTONIO DE ARECO,"San Antonio De Areco, Buenos Aires",Alianza Frente para la Victoria,4.19,22.19,3.33,1.32,55.18,13.49,0.3,583,3088,463,184,7679,1877,42,87.43,16625,14536,3.87,0.03,0.36,562,5,53
BUENOS AIRES_SAN CAYETANO,"San Cayetano, Buenos Aires",Alianza Frente para la Victoria,6.19,12.3,6.24,0.64,44.58,28.8,1.25,331,658,334,34,2385,1541,67,82.94,6799,5639,4.68,0.04,0.41,264,2,23
BUENOS AIRES_SAN FERNANDO,"San Fernando, Buenos Aires",Alianza Frente para la Victoria,7.45,16.6,7.03,2.8,53.87,10.12,2.14,6598,14694,6219,2477,47688,8955,1890,81.66,114618,93601,4.94,0.09,0.4,4621,85,374
BUENOS AIRES_SAN ISIDRO,"San Isidro, Buenos Aires",Alianza Frente para la Victoria,10.2,25.98,8.03,2.71,34.18,14.46,4.44,19846,50559,15619,5268,66518,28128,8649,80.04,252507,202109,2.89,0.06,0.77,5847,113,1562
BUENOS AIRES_SAN MIGUEL,"San Miguel, Buenos Aires",Alianza Frente para la Victoria,6.48,13.05,11.92,2.87,56.84,7.28,1.57,9599,19341,17659,4253,84225,10784,2325,81.92,188603,154507,3.34,0.09,0.67,5157,132,1032
BUENOS AIRES_SAN NICOLAS,"San Nicolas, Buenos Aires",Alianza Frente para la Victoria,5.7,25.46,2.96,1.49,56.05,6.83,1.52,5006,22347,2596,1306,49202,5999,1331,84.24,109218,92003,4.04,0.04,0.5,3721,35,460
BUENOS AIRES_SAN PEDRO,"San Pedro, Buenos Aires",Alianza Frente para la Victoria,7.5,19.76,5.68,1.26,52.97,11.46,1.37,2565,6755,1941,431,18106,3916,467,83.05,43192,35872,4.03,0.05,0.63,1446,18,227
BUENOS AIRES_SAN VICENTE,"San Vicente, Buenos Aires",Alianza Frente para la Victoria,5.86,11.43,18.06,1.72,54.98,6.98,0.97,1792,3498,5528,527,16827,2136,296,84.45,38795,32762,5.73,0.09,0.77,1876,29,253
BUENOS AIRES_SUIPACHA,"Suipacha, Buenos Aires",Alianza Frente para la Victoria,5.51,11.76,7.09,1.03,55.23,18.27,1.12,359,766,462,67,3598,1190,73,86.42,7961,6880,5.01,0.03,0.26,345,2,18
BUENOS AIRES_TANDIL,"Tandil, Buenos Aires",Alianza Frente para la Victoria,8.23,18.01,8.28,2.08,46.64,14.94,1.83,5913,12941,5950,1491,33514,10732,1313,81.24,92324,75005,3.45,0.04,0.71,2585,31,535
BUENOS AIRES_TAPALQUE,"Tapalque, Buenos Aires",Alianza Frente para la Victoria,2.53,9.81,8.37,0.65,55.12,22.85,0.67,155,601,513,40,3378,1400,41,85.2,7543,6427,4.51,0.03,0.11,290,2,7
BUENOS AIRES_TIGRE,"Tigre, Buenos Aires",Alianza Frente para la Victoria,7.07,13.71,6.65,2.94,59.34,8.23,2.06,13148,25509,12372,5474,110392,15310,3839,83.36,233707,194809,3.96,0.04,0.5,7722,71,972
BUENOS AIRES_TORDILLO,"Tordillo, Buenos Aires",Alianza Frente para la Victoria,2.44,4.36,5.1,0.52,59.5,27.57,0.52,33,59,69,7,805,373,7,86.71,1700,1474,8.07,0,0.14,119,0,2
BUENOS AIRES_TORNQUIST,"Tornquist, Buenos Aires",Alianza Frente para la Victoria,9.57,12.92,6.84,2.39,41.45,19.03,7.81,736,994,526,184,3189,1464,601,79.65,10204,8127,4.54,0,0.79,369,0,64
BUENOS AIRES_TRENQUE LAUQUEN,"Trenque Lauquen, Buenos Aires",Alianza Frente para la Victoria,5.98,15.27,7.01,1.21,48.02,20.97,1.54,1548,3954,1815,314,12437,5431,398,80.68,33849,27308,4.57,0.01,0.58,1249,3,159
BUENOS AIRES_TRES ARROYOS,"Tres Arroyos, Buenos Aires",Alianza Frente para la Victoria,6.49,15.98,6.55,1.46,55.77,11.51,2.22,2230,5488,2251,502,19153,3953,764,78.87,46537,36706,6.03,0.04,0.37,2214,14,137
BUENOS AIRES_TRES DE FEBRERO,"Tres De Febrero, Buenos Aires",Alianza Frente para la Victoria,10.42,17.39,7.75,3.5,50.44,8.78,1.72,21302,35546,15847,7152,103095,17947,3515,81.93,257352,210844,2.43,0.03,0.59,5116,72,1252
BUENOS AIRES_TRES LOMAS,"Tres Lomas, Buenos Aires",Alianza Frente para la Victoria,3.8,8.59,12.32,2.55,56.35,15.25,1.14,167,378,542,112,2479,671,50,89.06,6090,5424,18.57,0.28,0.06,1007,15,3
BUENOS AIRES_25 DE MAYO,"Veinticinco De Mayo, Buenos Aires",Alianza Frente para la Victoria,6.17,14.74,9.55,1.38,50.88,10.64,6.64,1402,3348,2169,314,11557,2416,1508,83.46,28746,23992,4.74,0.02,0.57,1138,4,136
BUENOS AIRES_VICENTE LOPEZ,"Vicente Lopez, Buenos Aires",Alianza Frente para la Victoria,9,31.11,10.5,2.82,32.35,10.85,3.37,15647,54062,18256,4907,56219,18857,5854,79.35,226537,179761,2.65,0.05,0.61,4770,86,1103
BUENOS AIRES_VILLA GESELL,"Villa Gesell, Buenos Aires",Alianza Frente para la Victoria,4.48,11.03,3.94,2.06,56.49,20.95,1.06,774,1906,680,356,9760,3619,183,76.95,23404,18009,3.41,0.08,0.56,615,15,101
BUENOS AIRES_VILLARINO,"Villarino, Buenos Aires",Alianza Frente para la Victoria,7.63,10.01,7.38,1.54,51.14,22.21,0.09,1116,1465,1080,226,7484,3250,13,81.89,20166,16514,10.28,0.03,1.08,1697,5,178
BUENOS AIRES_ZARATE,"Zarate, Buenos Aires",Alianza Frente para la Victoria,6.16,13.77,3.73,1.87,66.5,6.69,1.28,4032,9011,2439,1225,43523,4378,840,83.65,81173,67901,3.09,0.02,0.51,2095,12,346
CATAMARCA_AMBATO,"Ambato, Catamarca",Alianza Frente para la Victoria,0.59,2.81,1.98,1.82,74.22,17.65,0.93,19,91,64,59,2401,571,30,77.07,4279,3298,1.61,0,0.3,53,0,10
CATAMARCA_ANCASTI,"Ancasti, Catamarca",Alianza Frente para la Victoria,0,1.55,0.43,3.53,62.69,30.88,0.93,0,25,7,57,1013,499,15,74.43,2221,1653,2,0.06,0.18,33,1,3
CATAMARCA_ANDALGALA,"Andalgala, Catamarca",Alianza Frente para la Victoria,0.13,6.59,3.5,3.3,65.22,19.11,2.15,12,608,323,304,6017,1763,198,74.34,12665,9415,1.35,0.03,0.64,127,3,60
CATAMARCA_ANTOFAGASTA DE LA SIERRA,"Antofagasta De La Sierra, Catamarca",Alianza Frente para la Victoria,0,1.76,1.76,1.76,66.72,26.39,1.61,0,12,12,12,455,180,11,69.33,1014,703,1.71,0.28,1,12,2,7
CATAMARCA_BELEN,"Belen, Catamarca",Alianza Frente para la Victoria,0.03,2.81,2.25,1.17,69.47,23.27,1,4,392,315,164,9707,3251,140,75.4,18916,14262,1.57,0.03,0.43,224,4,61
CATAMARCA_CAPAYAN,"Capayan, Catamarca",Alianza Frente para la Victoria,0.45,1.95,1.86,1.23,80.98,12.67,0.85,37,160,152,101,6635,1038,70,77.22,10778,8323,1.14,0.02,0.4,95,2,33
CATAMARCA_CAPITAL,"Capital, Catamarca",Alianza Frente para la Victoria,3.47,6.83,3.06,1.67,68.79,14.85,1.33,2738,5397,2421,1319,54342,11732,1053,75.49,107205,80931,1.43,0.05,0.9,1160,44,725
CATAMARCA_EL ALTO,"El Alto, Catamarca",Alianza Frente para la Victoria,0,2.06,1.29,0.77,71.81,23.51,0.56,0,48,30,18,1671,547,13,71,3393,2409,1.99,0.79,0.62,48,19,15
CATAMARCA_FRAY MAMERTO ESQUIU,"Fray Mamerto Esquiu, Catamarca",Alianza Frente para la Victoria,3.26,3.3,1.77,0.99,72.87,17.03,0.77,230,233,125,70,5139,1201,54,81.43,8836,7195,1.36,0.01,0.61,98,1,44
CATAMARCA_LA PAZ,"La Paz, Catamarca",Alianza Frente para la Victoria,0,2.39,2.24,0.96,76.34,17.22,0.85,0,261,245,105,8340,1881,93,72.87,15321,11165,1.63,0.01,0.51,182,1,57
CATAMARCA_PACLIN,"Paclin, Catamarca",Alianza Frente para la Victoria,0,2.78,0.76,2.67,69.65,23.47,0.68,0,70,19,67,1751,590,17,79.18,3242,2567,1.6,0,0.47,41,0,12
CATAMARCA_POMAN,"Poman, Catamarca",Alianza Frente para la Victoria,0,3.03,2.13,1.16,70.52,22.33,0.83,0,165,116,63,3840,1216,45,77.61,7186,5577,1.92,0.02,0.43,107,1,24
CATAMARCA_SANTA MARIA,"Santa Maria, Catamarca",Alianza Frente para la Victoria,0.02,6.7,3.94,1.48,62,24.57,1.28,2,819,482,181,7578,3003,157,74.27,16780,12463,1.24,0,0.7,154,0,87
CATAMARCA_SANTA ROSA,"Santa Rosa, Catamarca",Alianza Frente para la Victoria,0.02,3.39,2.44,1.26,78.78,13.31,0.81,1,225,162,84,5234,884,54,76.23,8890,6777,1.31,0.03,0.62,89,2,42
CATAMARCA_TINOGASTA,"Tinogasta, Catamarca",Alianza Frente para la Victoria,0.09,3.8,2.36,0.93,63.78,27.91,1.11,10,407,253,100,6827,2988,119,71.56,15292,10943,1.36,0.05,0.77,149,6,84
CATAMARCA_VALLE VIEJO,"Valle Viejo, Catamarca",Alianza Frente para la Victoria,2.15,4.85,2.18,1.34,71.77,16.49,1.22,300,678,305,187,10033,2305,171,78.52,18247,14328,1.62,0.06,0.75,232,9,108
CHACO_12 DE OCTUBRE,"12 De Octubre, Chaco",Alianza Frente para la Victoria,1.65,3.83,2.71,0.49,64.72,25.94,0.66,190,442,313,56,7461,2991,76,73.12,15955,11667,0.93,0.03,0.22,108,4,26
CHACO_2 DE ABRIL,"2 De Abril, Chaco",Alianza Frente para la Victoria,1.97,6.22,5.06,0.54,63.52,21.1,1.58,76,240,195,21,2450,814,61,72.57,5373,3899,1.05,0,0.03,41,0,1
CHACO_25 DE MAYO,"25 De Mayo, Chaco",Alianza Frente para la Victoria,2.18,3.09,3.33,0.45,70.85,19.2,0.91,322,457,493,66,10485,2841,134,73.02,20446,14930,0.71,0.01,0.16,106,2,24
CHACO_9 DE JULIO,"9 De Julio, Chaco",Alianza Frente para la Victoria,1.97,5.57,3.92,0.42,63.66,23.75,0.71,290,819,576,62,9357,3491,104,70.62,21028,14851,0.61,0.04,0.37,91,6,55
CHACO_ALMIRANTE BROWN,"Almirante Brown, Chaco",Alianza Frente para la Victoria,1.5,2.51,2.81,0.55,77.09,14.85,0.7,228,382,428,83,11735,2260,106,66.19,23201,15356,0.71,0,0.16,109,0,25
CHACO_BERMEJO,"Bermejo, Chaco",Alianza Frente para la Victoria,2.25,3.27,2.79,0.64,76.4,13.42,1.23,341,494,422,97,11557,2030,186,73.99,20664,15290,0.8,0.04,0.23,122,6,35
CHACO_CHACABUCO,"Chacabuco, Chaco",Alianza Frente para la Victoria,3.3,11.8,5.22,0.83,59.19,18.24,1.43,559,1997,883,140,10019,3087,242,78.59,21808,17138,0.9,0,0.33,154,0,57
CHACO_COMANDANTE FERNANDEZ,"Comandante Fernandez, Chaco",Alianza Frente para la Victoria,3.86,8.43,4.3,0.87,60.1,20.41,2.03,1841,4021,2051,417,28679,9738,971,74.39,65036,48383,0.75,0.02,0.6,364,10,291
CHACO_FRAY JUSTO SANTA MARIA DE ORO,"Fray J. Sta. Maria De Oro, Chaco",Alianza Frente para la Victoria,1.16,5.06,2.14,0.3,68.1,22.59,0.65,66,288,122,17,3877,1286,37,66.32,8645,5733,0.54,0,0.16,31,0,9
CHACO_GENERAL BELGRANO,"General Belgrano, Chaco",Alianza Frente para la Victoria,1.24,3.49,3.78,0.91,74.78,15.06,0.73,68,191,207,50,4091,824,40,70.3,7854,5521,0.74,0.04,0.13,41,2,7
CHACO_GENERAL DONOVAN,"General Donovan, Chaco",Alianza Frente para la Victoria,1.94,4.03,3.01,0.63,72.94,16.28,1.18,161,335,250,52,6062,1353,98,80.72,10382,8380,0.67,0,0.16,56,0,13
CHACO_GENERAL GUEMES,"General Guemes, Chaco",Alianza Frente para la Victoria,1.97,3.21,2.68,0.43,73.59,17.27,0.84,599,977,814,132,22392,5256,257,62.88,48981,30798,0.89,0.01,0.31,273,4,94
CHACO_INDEPENDENCIA,"Independencia, Chaco",Alianza Frente para la Victoria,1.52,3.21,4.53,0.29,75.38,14.34,0.73,165,349,492,31,8187,1558,79,70.97,15407,10935,0.61,0.02,0.05,67,2,5
CHACO_LIBERTADOR GENERAL SAN MARTIN,"Lib. Gral. San Martin, Chaco",Alianza Frente para la Victoria,2.63,3.7,2.74,0.51,69.2,20.19,1.03,812,1144,848,158,21405,6245,319,72.54,43152,31302,0.7,0.05,0.43,220,16,135
CHACO_LIBERTAD,"Libertad, Chaco",Alianza Frente para la Victoria,2.35,4.57,3.59,0.96,67.24,19.98,1.32,162,316,248,66,4645,1380,91,83.68,8383,7015,1.4,0,0.13,98,0,9
CHACO_MAIPU,"Maipu, Chaco",Alianza Frente para la Victoria,1.58,3.26,3.67,0.46,66.3,23.88,0.85,187,386,435,54,7859,2831,101,69.02,17343,11971,0.84,0.02,0.13,100,2,16
CHACO_MAYOR LUIS J. FONTANA,"Mayor L. J. Fontana, Chaco",Alianza Frente para la Victoria,2.71,6.96,4.99,1.11,65.58,16.91,1.74,828,2127,1525,339,20035,5166,531,75.63,41057,31050,1.3,0.09,0.21,405,28,66
JUJUY_VALLE GRANDE,"Valle Grande, Jujuy",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHACO_O'HIGGINS,"O'Higgins, Chaco",Alianza Frente para la Victoria,1.29,3.76,4.84,0.42,73.82,15.15,0.72,143,415,534,46,8152,1673,80,72,15492,11155,0.78,0.02,0.21,87,2,23
CHACO_PRESIDENCIA DE LA PLAZA,"Pcia. De La Plaza, Chaco",Alianza Frente para la Victoria,1.61,4.63,2.89,0.55,66.23,23.34,0.75,103,296,185,35,4234,1492,48,71.19,9071,6458,0.73,0.02,0.26,47,1,17
CHACO_1° DE MAYO,"Primero De Mayo, Chaco",Alianza Frente para la Victoria,2.59,5.74,5.25,0.8,70.24,14.02,1.36,181,401,367,56,4909,980,95,83.11,8516,7078,1.03,0,0.23,73,0,16
CHACO_QUITILIPI,"Quitilipi, Chaco",Alianza Frente para la Victoria,3.67,5.49,4.46,0.58,63.55,20.56,1.68,626,936,760,99,10826,3502,286,71.37,24165,17246,0.94,0.03,0.26,162,5,44
CHACO_SAN FERNANDO,"San Fernando, Chaco",Alianza Frente para la Victoria,3.99,10.26,4.87,1.09,60.57,16.06,3.17,8840,22751,10806,2415,134286,35598,7019,79.95,282323,225731,0.87,0.04,0.87,1961,93,1962
CHACO_SAN LORENZO,"San Lorenzo, Chaco",Alianza Frente para la Victoria,1.11,2.61,2.53,0.27,73.14,19.99,0.35,88,206,200,21,5782,1580,28,72.4,11001,7965,0.58,0,0.18,46,0,14
CHACO_SARGENTO CABRAL,"Sargento Cabral, Chaco",Alianza Frente para la Victoria,1.69,3.6,2.54,0.49,75.75,14.87,1.07,158,337,238,46,7099,1393,100,75.49,12523,9454,0.69,0.02,0.17,65,2,16
CHACO_TAPENAGA,"Tapenaga, Chaco",Alianza Frente para la Victoria,0.82,2.82,1.84,0.26,81.52,12.44,0.31,16,55,36,5,1592,243,6,72.53,2712,1967,0.41,0,0.31,8,0,6
CHUBUT_BIEDMA,"Biedma, Chubut",Alianza Frente para la Victoria,3.4,9.05,18.95,2.1,57.08,8.06,1.35,1393,3703,7756,858,23360,3300,552,77.15,54879,42337,1.21,0.29,1.84,511,123,781
CHUBUT_CUSHAMEN,"Cushamen, Chubut",Alianza Frente para la Victoria,1.79,8.43,18.65,1.63,61.18,7.4,0.91,243,1142,2527,221,8287,1003,123,77.28,18080,13972,1.5,0.01,1.55,209,1,216
CHUBUT_ESCALANTE,"Escalante, Chubut",Alianza Frente para la Victoria,3.41,8.53,7.27,2.02,67.43,9.5,1.83,3280,8205,6991,1947,64844,9132,1764,80.65,123208,99367,1.49,0.03,1.71,1478,26,1700
CHUBUT_FLORENTINO AMEGHINO,"F. Ameghino, Chubut",Alianza Frente para la Victoria,1.43,2.85,25.18,0.71,59.62,9.62,0.59,12,24,212,6,502,81,5,70.17,1217,854,1.17,0,0.23,10,0,2
CHUBUT_FUTALEUFU,"Futaleufu, Chubut",Alianza Frente para la Victoria,2.6,7.72,23.1,2.09,52,10.8,1.7,618,1835,5490,497,12359,2567,403,76.13,32340,24619,1.84,0.02,1.59,452,6,392
CHUBUT_GAIMAN,"Gaiman, Chubut",Alianza Frente para la Victoria,2.22,6.65,28.58,1.12,46.23,14.22,0.99,139,417,1792,70,2899,892,62,80.14,8015,6423,1.21,0.08,1.07,78,5,69
CHUBUT_GASTRE,"Gastre, Chubut",Alianza Frente para la Victoria,0.63,0.88,34.63,0.76,54.53,7.81,0.76,5,7,275,6,433,62,6,60.36,1337,807,1.12,0,0.5,9,0,4
CHUBUT_LANGUIÑEO,"Languiñeo, Chubut",Alianza Frente para la Victoria,0.87,2.08,26.43,0.29,59.95,9.35,1.04,15,36,458,5,1039,162,18,72.74,2436,1772,1.47,0,0.73,26,0,13
CHUBUT_MARTIRES,"Martires, Chubut",Alianza Frente para la Victoria,1.89,1.58,33.75,0.32,44.16,17.35,0.95,6,5,107,1,140,55,3,49.55,660,327,2.75,0,0.31,9,0,1
CHUBUT_PASO DE INDIOS,"Paso De Indios, Chubut",Alianza Frente Popular,2.01,1.71,42.96,0.5,40.54,11.27,1.01,20,17,427,5,403,112,10,71.3,1439,1026,2.53,0,0.58,26,0,6
CHUBUT_RAWSON,"Rawson, Chubut",Alianza Frente para la Victoria,3.07,7.01,21.43,1.9,55.14,9.97,1.48,2251,5148,15733,1395,40475,7318,1084,79.83,94576,75497,1.12,0.04,1.61,847,28,1218
CHUBUT_RIO SENGUER,"Rio Senguer, Chubut",Alianza Frente para la Victoria,1.76,3.68,24.08,0.68,60.64,8.08,1.08,54,113,739,21,1861,248,33,68.26,4609,3146,1.34,0.03,1.08,42,1,34
CHUBUT_SARMIENTO,"Sarmiento, Chubut",Alianza Frente para la Victoria,2.75,5.06,17.84,1.45,60.14,11.33,1.43,165,304,1072,87,3614,681,86,73.54,8360,6148,0.83,0.03,1.4,51,2,86
CHUBUT_TEHUELCHES,"Tehuelches, Chubut",Alianza Frente para la Victoria,1.02,2.13,26.26,0.46,58.64,10.97,0.52,31,65,802,14,1791,335,16,69.99,4465,3125,1.15,0.03,1.09,36,1,34
CHUBUT_TELSEN,"Telsen, Chubut",Alianza Frente para la Victoria,0.38,0.67,40.94,0.48,46.95,10.02,0.57,4,7,429,5,492,105,6,72.24,1495,1080,2.13,0,0.83,23,0,9
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 1,"Comuna 1, Ciudad Autonoma De Buenos Aires",Alianza Frente para la Victoria,10.08,22.15,12.1,3.15,37.39,9.66,5.47,12872,28278,15448,4027,47732,12328,6989,70.85,185279,131278,1.83,0.06,0.86,2396,76,1132
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 10,"Comuna 10, Ciudad Autonoma De Buenos Aires",Alianza Frente para la Victoria,10.85,27.83,9.45,3.62,35.76,9.39,3.1,12272,31463,10682,4090,40431,10619,3500,80,145370,116300,1.78,0.03,0.98,2069,35,1139
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 11,"Comuna 11, Ciudad Autonoma De Buenos Aires",Alianza Frente para la Victoria,10.26,31.01,9.31,3.36,33.31,9.25,3.51,13239,40009,12008,4341,42980,11931,4524,79.83,166081,132588,1.67,0.03,0.97,2220,45,1291
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 12,"Comuna 12, Ciudad Autonoma De Buenos Aires",Alianza Frente para la Victoria,10.02,30.68,9.65,3.59,32.98,9.34,3.74,13575,41571,13083,4862,44685,12663,5067,80.53,173103,139395,1.82,0.07,0.9,2539,93,1257
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 13,"Comuna 13, Ciudad Autonoma De Buenos Aires",Alianza Frente Amplio Progresista,9.38,35.88,11.91,2.59,24.6,9.53,6.13,14613,55911,18557,4031,38339,14849,9548,77.07,207680,160057,1.82,0.03,0.78,2917,48,1244
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 14,"Comuna 14, Ciudad Autonoma De Buenos Aires",Alianza Frente Amplio Progresista,9.35,33.2,12,2.51,26.55,9.3,7.08,14018,49767,17992,3758,39796,13944,10604,75.72,203268,153905,1.79,0.03,0.79,2760,50,1216
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 15,"Comuna 15, Ciudad Autonoma De Buenos Aires",Alianza Frente para la Victoria,9.16,28.78,8.35,3.75,37.76,8.91,3.29,11157,35038,10172,4560,45972,10853,4009,77.5,161735,125340,1.66,0.07,1.13,2076,92,1411
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 2,"Comuna 2, Ciudad Autonoma De Buenos Aires",Alianza Frente Amplio Progresista,10.57,30.81,13.71,2.24,21.6,10.96,10.12,11244,32784,14585,2386,22982,11666,10769,73.62,148503,109324,1.85,0.04,0.77,2022,41,845
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 3,"Comuna 3, Ciudad Autonoma De Buenos Aires",Alianza Frente para la Victoria,9.26,23.76,9.79,3.81,39.46,10.52,3.4,10932,28049,11562,4493,46588,12422,4019,73.17,166138,121559,1.83,0.04,1,2223,53,1218
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 4,"Comuna 4, Ciudad Autonoma De Buenos Aires",Alianza Frente para la Victoria,9.56,20.25,9.53,3.6,45.13,9.33,2.61,12631,26753,12584,4759,59616,12323,3442,78.09,174333,136132,1.93,0.04,0.98,2627,58,1339
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 5,"Comuna 5, Ciudad Autonoma De Buenos Aires",Alianza Frente para la Victoria,8.75,28.2,8.9,3.72,37.47,9.5,3.46,10122,32630,10304,4302,43354,10998,4007,77.68,153019,118865,1.72,0.03,0.9,2041,38,1069
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 6,"Comuna 6, Ciudad Autonoma De Buenos Aires",Alianza Frente Amplio Progresista,8.65,33.65,9.02,3.4,31.22,9.79,4.27,10135,39410,10568,3987,36562,11461,4996,79.25,151777,120289,1.7,0.03,0.91,2043,35,1092
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 7,"Comuna 7, Ciudad Autonoma De Buenos Aires",Alianza Frente para la Victoria,9.98,27.13,9.45,3.28,37.16,9.74,3.26,12795,34799,12119,4210,47658,12496,4181,78.25,168426,131801,1.67,0.04,0.97,2207,53,1283
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 8,"Comuna 8, Ciudad Autonoma De Buenos Aires",Alianza Frente para la Victoria,11.5,15.62,10.05,3.28,50.03,7.63,1.89,11638,15805,10176,3324,50630,7717,1916,79.56,130895,104140,1.81,0.03,0.97,1889,31,1014
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 9,"Comuna 9, Ciudad Autonoma De Buenos Aires",Alianza Frente para la Victoria,11.4,22.85,10.07,3.48,40.91,8.64,2.66,12873,25802,11371,3925,46195,9756,3009,80.77,143612,115992,1.7,0.02,0.92,1973,26,1062
CORDOBA_CALAMUCHITA,"Calamuchita, Cordoba",Alianza Frente para la Victoria,16.69,18.54,4.82,2.05,38.78,17.7,1.42,4927,5475,1423,605,11449,5226,419,75.43,40004,30175,1.12,0,1.04,337,1,313
CORDOBA_CAPITAL,"Capital, Cordoba",Alianza Frente para la Victoria,10.74,28.98,3.56,3.88,34.02,17.08,1.74,76763,207069,25462,27759,243106,122025,12399,74.85,976313,730735,0.95,0.05,1.21,6938,357,8857
CORDOBA_COLON,"Colon, Cordoba",Alianza Frente para la Victoria,11.34,26.34,3.5,3.32,36.94,16.85,1.71,13446,31236,4151,3939,43810,19988,2032,74.15,163698,121386,1.16,0.02,1.11,1408,24,1352
CORDOBA_CRUZ DEL EJE,"Cruz Del Eje, Cordoba",Alianza Frente para la Victoria,7.23,9.38,2.78,1.4,58.7,19.59,0.93,1975,2562,760,382,16038,5354,253,69.08,40231,27790,0.89,0.38,0.41,248,105,113
CORDOBA_GENERAL ROCA,"General Roca, Cordoba",Alianza Frente para la Victoria,21.21,11.24,7.38,1.01,38.08,20.01,1.08,4178,2214,1454,198,7501,3941,213,75.7,26301,19910,0.91,0.01,0.15,181,1,29
CORDOBA_GENERAL SAN MARTIN,"General San Martin, Cordoba",Alianza Frente para la Victoria,9.68,19.39,4.73,1.99,45.13,17.4,1.68,7283,14593,3556,1501,33959,13096,1262,78.91,97124,76638,0.99,0.01,0.81,759,7,622
CORDOBA_ISCHILIN,"Ischilin, Cordoba",Alianza Frente para la Victoria,10.78,14.3,3.11,1.76,52.74,16.28,1.04,1809,2399,522,295,8851,2732,174,70.2,24368,17107,1.12,0.02,0.77,191,3,131
CORDOBA_JUAREZ CELMAN,"Juarez Celman, Cordoba",Alianza Frente para la Victoria,16.85,16.02,5.98,1.85,38.12,19.8,1.39,5924,5632,2103,650,13404,6961,490,78.29,45769,35832,1.08,0,0.78,387,1,280
CORDOBA_MARCOS JUAREZ,"Marcos Juarez, Cordoba",Alianza Frente para la Victoria,13.48,22.94,9.68,1.64,35.32,15.28,1.65,8486,14439,6095,1034,22227,9619,1039,78.53,81443,63959,1.15,0,0.44,738,1,281
CORDOBA_MINAS,"Minas, Cordoba",Alianza Frente para la Victoria,8.52,8.03,1.95,1.2,62.01,17.45,0.83,227,214,52,32,1652,465,22,63.84,4220,2694,0.56,0,0.56,15,0,15
