id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
LA RIOJA_CHILECITO,"Chilecito, La Rioja",ALIANZA CAMBIEMOS,34.56,3.24,2.08,31.14,1.21,27.77,9619,901,578,8669,338,7731,78.13,36876,28810,2.74,0.03,0.61,789,9,176
LA RIOJA_FAMATINA,"Famatina, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,15.49,1.73,1.63,41.49,0.97,38.69,637,71,67,1706,40,1591,83.25,5099,4245,2.73,0.14,0.26,116,6,11
LA RIOJA_CORONEL FELIPE VARELA,"Felipe Varela, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,27.55,2.22,1.42,44.85,1.03,22.92,1761,142,91,2867,66,1465,76.69,8699,6671,3.7,0.07,0.4,247,5,27
LA RIOJA_GENERAL ANGEL V. PEÑALOZA,"General Angel V. Peñaloza, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,18.01,3.06,0.6,54.92,0.84,22.57,300,51,10,915,14,376,68.99,2486,1715,2.57,0,0.29,44,0,5
LA RIOJA_GENERAL BELGRANO,"General Belgrano, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,29.81,3.5,0.94,38.39,0.76,26.59,1296,152,41,1669,33,1156,70.04,6412,4491,2.87,0,0.33,129,0,15
LA RIOJA_GENERAL LAMADRID,"General Lamadrid, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,23.71,0.46,0.62,55.37,0.39,19.46,307,6,8,717,5,252,79.99,1664,1331,2.4,0,0.3,32,0,4
LA RIOJA_GENERAL OCAMPO,"General Ocampo, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,15.28,3.38,0.54,59.19,0.45,21.17,651,144,23,2522,19,902,73.68,5890,4340,1.43,0,0.39,62,0,17
LA RIOJA_GENERAL SAN MARTIN,"General San Martin, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,24.45,4.63,0.61,54.64,0.86,14.81,682,129,17,1524,24,413,73.52,3897,2865,2.06,0,0.59,59,0,17
LA RIOJA_INDEPENDENCIA,"Independencia, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,18.93,2.97,1.28,58.77,1.11,16.95,325,51,22,1009,19,291,81.4,2301,1873,8.22,0,0.11,154,0,2
LA RIOJA_GENERAL JUAN F. QUIROGA,"Juan Facundo Quiroga, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,20.08,4.25,0.76,52.67,0.56,21.68,501,106,19,1314,14,541,75.2,3428,2578,2.91,0.12,0.19,75,3,5
LA RIOJA_ROSARIO VERA PEÑALOZA,"Rosario Vera Peñaloza, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,20.03,7.53,1.87,48.3,0.82,21.45,1683,633,157,4058,69,1802,72.16,12032,8682,2.48,0.1,0.65,215,9,56
LA RIOJA_SAN BLAS DE LOS SAUCES,"San Blas De Los Sauces, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,23.61,1.75,0.87,45.42,0.51,27.84,513,38,19,987,11,605,77.32,2893,2237,2.37,0.04,0.45,53,1,10
LA RIOJA_SANAGASTA,"Sanagasta, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,25.15,1.82,1.4,41.03,1.07,29.53,540,39,30,881,23,634,81.18,2721,2209,1.9,0.05,0.86,42,1,19
LA RIOJA_VINCHINA,"Vinchina, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,28.58,2.27,1.1,51.24,0.88,15.94,391,31,15,701,12,218,66.01,2145,1416,3.39,0,0,48,0,0
MENDOZA_CAPITAL,"Capital, Mendoza",ALIANZA CAMBIEMOS,57.53,1.99,6.72,21.67,2.15,9.93,43456,1504,5077,16367,1626,7501,77.95,99182,77317,1.27,0.06,0.98,983,44,759
MENDOZA_GENERAL ALVEAR,"General Alvear, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,33.41,4.71,2.72,39.99,1.38,17.79,9837,1386,802,11773,407,5237,80.91,37266,30152,1.25,0.04,1.06,377,12,321
MENDOZA_GODOY CRUZ,"Godoy Cruz, Mendoza",ALIANZA CAMBIEMOS,48.46,2.96,8.52,24.67,1.78,13.61,58346,3565,10261,29696,2145,16383,79.97,154531,123582,1.34,0.05,1.19,1659,56,1471
MENDOZA_GUAYMALLEN,"Guaymallen, Mendoza",ALIANZA CAMBIEMOS,44.37,3.9,8.76,27.09,1.45,14.43,76316,6709,15070,46592,2501,24814,80.99,218082,176630,1.22,0.09,1.31,2157,155,2316
MENDOZA_JUNIN,"Junin, Mendoza",ALIANZA CAMBIEMOS,40.49,8.53,8.47,27.22,1.3,13.99,10661,2246,2231,7167,343,3685,83.9,32503,27270,1.99,0.1,1.35,542,27,368
MENDOZA_LA PAZ,"La Paz, Mendoza",ALIANZA CAMBIEMOS,44.04,4.53,2.43,39.99,0.77,8.24,3153,324,174,2863,55,590,85.02,8591,7304,1.27,0,0.71,93,0,52
MENDOZA_LAS HERAS,"Las Heras, Mendoza",ALIANZA CAMBIEMOS,37.29,4.15,9.88,33.01,1.35,14.32,44948,5001,11907,39786,1626,17256,81.71,152261,124415,1.64,0.1,1.39,2039,124,1728
MENDOZA_LAVALLE,"Lavalle, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,26.69,4.64,9.22,48.33,0.94,10.18,6548,1139,2262,11858,231,2499,84.84,29733,25226,1.88,0.06,0.79,474,15,200
MENDOZA_LUJAN DE CUYO,"Lujan, Mendoza",ALIANZA CAMBIEMOS,45,3.85,8.82,27.05,1.62,13.67,35127,3003,6887,21113,1264,10671,83.64,96021,80309,1.37,0.08,1.35,1102,61,1081
MENDOZA_MAIPU,"Maipu, Mendoza",ALIANZA CAMBIEMOS,37.01,5.45,9.64,32.68,1.13,14.09,40053,5899,10437,35369,1224,15250,83.88,133146,111679,1.68,0.06,1.35,1873,70,1504
MENDOZA_MALARGÜE,"Malargüe, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,33.4,3.01,4.07,37.62,2.07,19.83,5620,507,685,6330,348,3336,77.28,22320,17249,1.51,0.02,0.92,260,4,159
MENDOZA_RIVADAVIA,"Rivadavia, Mendoza",ALIANZA CAMBIEMOS,41.5,9.35,6.61,29.81,1.45,11.28,14582,3285,2324,10474,508,3964,83.72,43120,36101,1.7,0.02,0.95,613,9,342
MENDOZA_SAN CARLOS,"San Carlos, Mendoza",ALIANZA CAMBIEMOS,36.4,3.86,7.45,30.28,1.77,20.23,7450,791,1525,6197,363,4141,83.59,25142,21017,1.85,0.05,0.71,389,11,150
MENDOZA_SAN MARTIN,"San Martin, Mendoza",ALIANZA CAMBIEMOS,35.96,7.4,7.04,35.21,1.09,13.3,26474,5445,5180,25923,806,9791,82.9,90957,75405,1.28,0.05,1.05,963,34,789
MENDOZA_SAN RAFAEL,"San Rafael, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,31.97,4.06,3.18,39.42,1.27,20.1,35875,4558,3565,44238,1426,22557,81.71,141182,115354,1.28,0.05,1.39,1471,59,1605
MENDOZA_SANTA ROSA,"Santa Rosa, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,32.7,6.74,5.38,43.96,0.76,10.46,3641,751,599,4895,85,1165,85.79,13182,11309,0.94,0.01,0.58,106,1,66
MENDOZA_TUNUYAN,"Tunuyan, Mendoza",ALIANZA CAMBIEMOS,38.98,3.18,6.66,36.75,1.37,13.06,12049,982,2059,11359,423,4038,83.66,37712,31548,1.21,0.06,0.74,383,20,235
MENDOZA_TUPUNGATO,"Tupungato, Mendoza",ALIANZA CAMBIEMOS,37.81,3.94,7.24,36.43,1.27,13.3,7300,761,1398,7032,246,2568,83.31,23667,19716,1.16,0.04,0.89,228,8,175
MISIONES_25 DE MAYO,"25 De Mayo, Misiones",ALIANZA FRENTE PARA LA VICTORIA,11.03,0.14,0.18,84.91,0.15,3.6,1754,23,28,13508,24,572,82.56,20129,16618,4.04,0.05,0.17,672,9,28
MISIONES_APOSTOLES,"Apostoles, Misiones",ALIANZA FRENTE PARA LA VICTORIA,21.05,0.51,0.72,60.45,0.75,16.52,5221,127,179,14992,186,4097,82.88,31817,26371,5.32,0,0.62,1404,1,164
MISIONES_CAINGUAS,"Cainguas, Misiones",ALIANZA FRENTE PARA LA VICTORIA,11.49,0.49,0.47,76.12,0.69,10.74,3617,153,149,23955,217,3380,83.1,40308,33496,5.63,0.03,0.39,1885,9,131
MISIONES_CANDELARIA,"Candelaria, Misiones",ALIANZA FRENTE PARA LA VICTORIA,15.66,0.37,0.54,70.58,0.49,12.35,2474,59,85,11147,78,1951,83.32,20117,16762,5.1,0.05,0.63,855,8,105
MISIONES_CAPITAL,"Capital, Misiones",ALIANZA FRENTE PARA LA VICTORIA,29.33,0.42,1.55,44.39,2.12,22.19,57024,816,3008,86287,4119,43137,80.53,255470,205730,4.53,0.06,0.92,9317,122,1900
MISIONES_CONCEPCION,"Concepcion De La Sierra, Misiones",ALIANZA FRENTE PARA LA VICTORIA,28.21,0.24,0.56,62.6,0.64,7.75,1550,13,31,3439,35,426,81.4,7176,5841,5.2,0,0.74,304,0,43
MISIONES_ELDORADO,"El Dorado, Misiones",ALIANZA FRENTE PARA LA VICTORIA,27.98,0.37,1.18,59.63,1.51,9.34,12689,167,533,27039,684,4235,83.42,57886,48287,5.13,0.17,0.8,2476,80,384
MISIONES_GENERAL MANUEL BELGRANO,"Gral. Manuel Belgrano, Misiones",ALIANZA FRENTE PARA LA VICTORIA,11.53,0.34,0.51,83.02,0.41,4.18,2778,83,124,20003,98,1007,81.87,31332,25653,5.66,0.05,0.37,1452,12,96
MISIONES_GUARANI,"Guarani, Misiones",ALIANZA FRENTE PARA LA VICTORIA,12.02,0.24,0.38,80.28,0.77,6.31,4298,87,136,28716,276,2258,80.89,47902,38749,7.03,0.06,0.59,2723,25,230
MISIONES_IGUAZU,"Iguazu, Misiones",ALIANZA FRENTE PARA LA VICTORIA,21.86,0.41,1.07,63.52,1.5,11.64,10302,191,503,29930,709,5485,81.33,62138,50538,5.85,0.02,0.9,2955,10,453
MISIONES_LIBERTADOR GENERAL SAN MARTIN,"L. General San Martin, Misiones",ALIANZA FRENTE PARA LA VICTORIA,27.84,0.33,0.64,60.4,0.83,9.97,7620,90,175,16535,226,2728,84.18,34044,28658,3.72,0.06,0.69,1067,18,199
MISIONES_LEANDRO N. ALEM,"Leandro N. Alem, Misiones",ALIANZA FRENTE PARA LA VICTORIA,20.92,0.55,0.46,65.45,0.89,11.74,6130,161,134,19180,260,3441,85.3,36766,31362,5.96,0,0.6,1868,1,187
MISIONES_MONTECARLO,"Montecarlo, Misiones",ALIANZA FRENTE PARA LA VICTORIA,29.56,0.35,0.82,57.32,0.89,11.06,5694,68,157,11042,172,2130,81.47,25002,20369,4.81,0.09,0.53,980,19,107
MISIONES_OBERA,"Obera, Misiones",ALIANZA FRENTE PARA LA VICTORIA,22.86,0.27,0.58,61.95,0.91,13.43,14076,169,356,38152,562,8270,82.5,78299,64595,3.96,0.06,0.64,2555,39,416
MISIONES_SAN IGNACIO,"San Ignacio, Misiones",ALIANZA FRENTE PARA LA VICTORIA,19.07,0.21,0.34,71.28,0.95,8.15,6537,73,116,24430,324,2794,83.1,42902,35652,3.48,0.02,0.37,1239,6,133
MISIONES_SAN JAVIER,"San Javier, Misiones",ALIANZA FRENTE PARA LA VICTORIA,15.75,0.18,0.26,76.12,0.08,7.62,1817,21,30,8783,9,879,83.32,14596,12161,4.56,0.01,0.55,554,1,67
MISIONES_SAN PEDRO,"San Pedro, Misiones",ALIANZA FRENTE PARA LA VICTORIA,9.65,0.14,0.3,85.58,0.72,3.61,1319,19,41,11701,98,494,83.26,17343,14439,5.13,0.01,0.17,741,2,24
NEUQUEN_ALUMINE,"Alumine, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,24.44,2.57,4.09,41.66,2.77,24.46,1208,127,202,2059,137,1209,81.43,6698,5454,7.99,0.11,1.28,436,6,70
NEUQUEN_AÑELO,"Añelo, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,21.48,2.24,3.7,47.27,1.23,24.09,1630,170,281,3587,93,1828,78.3,10442,8176,5.11,0.01,2.05,418,1,168
NEUQUEN_CATAN LIL,"Catan Lil, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,10.46,4.44,5.73,59.23,2.27,17.87,106,45,58,600,23,181,74.14,1566,1161,11.37,0,1.38,132,0,16
NEUQUEN_CHOS MALAL,"Chos Malal, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,19.77,2.14,4.44,44.81,1.72,27.12,1790,194,402,4057,156,2455,79.74,12359,9855,7.14,0.07,0.91,704,7,90
NEUQUEN_COLLON CURA,"Collon Cura, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,16.33,3.09,3.37,45.14,1.62,30.46,475,90,98,1313,47,886,80.47,3887,3128,6.11,0.06,0.83,191,2,26
NEUQUEN_CONFLUENCIA,"Confluencia, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,28.54,1.63,5.99,35.15,2.89,25.8,70996,4063,14891,87416,7180,64181,84.57,307056,259662,2.72,0.08,1.41,7058,208,3669
NEUQUEN_HUILICHES,"Huiliches, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,25.87,2.28,4.79,33.55,2.59,30.91,2544,224,471,3299,255,3039,82.08,12863,10558,5.31,0.08,1.49,561,8,157
NEUQUEN_LACAR,"Lacar, Neuquen",ALIANZA CAMBIEMOS,40.1,1.89,6.12,26.14,3.52,22.24,7733,364,1180,5042,678,4289,78.44,25955,20360,2.89,0.06,2.32,589,12,473
NEUQUEN_LONCOPUE,"Loncopue, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,19.62,3.75,4.05,40.5,1.85,30.23,732,140,151,1511,69,1128,83.81,5091,4267,10.8,0,1.76,461,0,75
NEUQUEN_LOS LAGOS,"Los Lagos, Neuquen",ALIANZA CAMBIEMOS,39.98,1.36,3.97,29.72,3.74,21.22,2788,95,277,2073,261,1480,78.63,9508,7476,5.18,0.19,1.35,387,14,101
NEUQUEN_MINAS,"Minas, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,14.86,2.75,3.71,49.77,2.32,26.6,633,117,158,2120,99,1133,79.16,6540,5177,16.52,0.02,1.18,855,1,61
NEUQUEN_PEHUENCHES,"Pehuenches, Neuquen",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),22.58,3.08,2.11,31.16,1.54,39.53,3310,451,310,4569,226,5795,78.05,19715,15387,3.5,0.09,1.12,539,14,173
NEUQUEN_PICUN LEUFU,"Picun Leufu, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,20.74,2,2.79,49,1.25,24.22,632,61,85,1493,38,738,84.12,3878,3262,4.94,0,1.66,161,0,54
NEUQUEN_PICUNCHES,"Picunches, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,23.98,2.35,2.22,41.95,1.21,28.28,949,93,88,1660,48,1119,79.71,5511,4393,9.01,0,0.91,396,0,40
NEUQUEN_ZAPALA,"Zapala, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,29.44,1.81,4.9,35.23,2.07,26.54,7364,453,1226,8812,519,6639,83.56,31680,26471,4.2,0.07,1.24,1111,19,328
NEUQUEN_ÑORQUIN,"Ñorquin, Neuquen",ALIANZA FRENTE PARA LA VICTORIA,16.63,2.14,2.73,51.3,1.25,25.95,505,65,83,1558,38,788,81.99,4281,3510,12.76,0.03,0.68,448,1,24
RIO NEGRO_25 DE MAYO,"25 De Mayo, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,12.4,1.39,1.93,65.66,1.65,16.97,1052,118,164,5569,140,1439,72.11,12073,8706,1.79,0,0.78,156,0,68
RIO NEGRO_ADOLFO ALSINA,"Adolfo Alsina, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,22.69,1.18,3.26,41.73,3.55,27.59,9057,472,1300,16657,1415,11011,79.37,51307,40720,0.9,0.05,1.03,368,20,420
RIO NEGRO_AVELLANEDA,"Avellaneda, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,22.25,1.18,3.24,49.41,1.92,21.99,4763,253,693,10576,411,4707,81.76,27423,22422,3.25,0,1.29,729,1,289
RIO NEGRO_BARILOCHE,"Bariloche, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,24.68,1.44,5.67,41.97,3.87,22.36,19862,1159,4561,33778,3118,17996,77.64,107465,83441,2.33,0.04,1.18,1945,34,988
RIO NEGRO_CONESA,"Conesa, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,19.62,1.18,3.05,49.95,2.06,24.15,818,49,127,2083,86,1007,76.5,5562,4255,1.13,0,0.87,48,0,37
RIO NEGRO_EL CUY,"El Cuy, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,13.18,2.61,4.63,64.96,1.44,13.18,293,58,103,1444,32,293,74.83,3028,2266,0.97,0,0.93,22,0,21
RIO NEGRO_GENERAL ROCA,"General Roca, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,22.89,1.48,3.76,44.34,2.51,25.03,45638,2950,7489,88413,5015,49915,82.6,250705,207094,2.24,0.04,1.43,4634,81,2959
RIO NEGRO_9 DE JULIO,"Nueve De Julio, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,8.66,2.06,1.87,69.68,1.31,16.42,185,44,40,1489,28,351,71.8,3032,2177,1.38,0,0.46,30,0,10
RIO NEGRO_PICHI MAHUIDA,"Pichi Mahuida, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,22.98,2.07,2.24,48,2.47,22.24,2091,188,204,4367,225,2023,82.04,11950,9804,5.39,0.44,1.38,528,43,135
RIO NEGRO_PILCANIYEU,"Pilcaniyeu, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,21.82,1.65,2.88,50.55,3.39,19.7,1112,84,147,2576,173,1004,78.64,6628,5212,1.32,0.02,0.88,69,1,46
RIO NEGRO_SAN ANTONIO,"San Antonio Oeste, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,16.19,1.05,2.46,49.68,1.94,28.68,3106,201,471,9530,372,5502,77.28,25265,19526,0.81,0.01,0.95,158,1,185
RIO NEGRO_VALCHETA,"Valcheta, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,18.98,1.32,1.28,59.7,2.37,16.35,505,35,34,1588,63,435,71.39,3778,2697,0.56,0,0.82,15,0,22
RIO NEGRO_ÑORQUINCO,"Ñorquinco, Rio Negro",ALIANZA FRENTE PARA LA VICTORIA,17.58,3.06,1.27,66.37,1.4,10.32,138,24,10,521,11,81,67.01,1258,843,6.29,0,0.59,53,0,5
SALTA_ANTA,"Anta, Salta",ALIANZA FRENTE PARA LA VICTORIA,20.71,0.97,1.13,60.02,0.75,16.43,6505,304,355,18854,237,5160,72.12,44174,31859,1.01,0.08,0.31,321,25,98
SALTA_CACHI,"Cachi, Salta",ALIANZA FRENTE PARA LA VICTORIA,19.13,1.22,1.63,46.53,0.96,30.53,879,56,75,2138,44,1403,72.64,6481,4708,1.89,0.04,0.47,89,2,22
SALTA_CAFAYATE,"Cafayate, Salta",ALIANZA FRENTE PARA LA VICTORIA,20.72,0.81,2.13,51.37,1.18,23.79,1877,73,193,4655,107,2156,76.15,12190,9283,1.49,0.1,0.81,138,9,75
SALTA_CAPITAL,"Capital, Salta",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),24.27,0.71,3.52,28.9,1.31,41.29,76749,2258,11142,91387,4156,130577,79.02,408099,322489,0.82,0.14,0.97,2636,453,3131
SALTA_CERRILLOS,"Cerrillos, Salta",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),18.57,0.68,2.27,34.26,0.89,43.33,4337,158,530,8003,209,10122,81.91,29004,23756,0.88,0.13,0.66,209,32,156
SALTA_CHICOANA,"Chicoana, Salta",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),17.97,0.87,1.83,37.05,0.78,41.51,2385,115,243,4918,103,5511,80.8,16751,13534,0.96,0.39,0.56,130,53,76
SALTA_GENERAL GUEMES,"General Guemes, Salta",ALIANZA FRENTE PARA LA VICTORIA,15.82,0.89,2.37,46.11,0.87,33.93,4511,255,677,13153,248,9679,78.73,36894,29046,1.05,0.15,0.6,306,43,174
SALTA_GUACHIPAS,"Guachipas, Salta",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),15,0.84,1.79,40.53,0.78,41.06,251,14,30,678,13,687,81.78,2086,1706,1.58,0.06,0.29,27,1,5
SALTA_IRUYA,"Iruya, Salta",ALIANZA FRENTE PARA LA VICTORIA,9.19,0.19,0.74,69.45,0.09,20.33,99,2,8,748,1,219,71.38,1527,1090,0.73,0,0.46,8,0,5
SALTA_LA CALDERA,"La Caldera, Salta",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),26.61,0.75,2.85,31.16,1.4,37.24,1996,56,214,2337,105,2793,81.64,9331,7618,0.83,0.04,0.67,63,3,51
SALTA_LA CANDELARIA,"La Candelaria, Salta",ALIANZA FRENTE PARA LA VICTORIA,18.73,0.66,0.68,50.77,0.85,28.3,767,27,28,2079,35,1159,78.11,5282,4126,0.46,0.15,0.15,19,6,6
SALTA_LA POMA,"La Poma, Salta",ALIANZA FRENTE PARA LA VICTORIA,11.48,1.46,2.43,45.91,0.68,38.04,118,15,25,472,7,391,77.35,1364,1055,1.42,0,1.14,15,0,12
SALTA_LA VIÑA,"La Viña, Salta",ALIANZA FRENTE PARA LA VICTORIA,17.44,0.67,1.83,42.86,0.58,36.63,879,34,92,2160,29,1846,79.56,6448,5130,1.13,0.06,0.57,58,3,29
SALTA_LOS ANDES,"Los Andes, Salta",ALIANZA FRENTE PARA LA VICTORIA,13.81,1.64,2.76,49.37,1.97,30.44,505,60,101,1805,72,1113,73.33,5197,3811,1.92,1.55,0.6,73,59,23
SALTA_METAN,"Metan, Salta",ALIANZA FRENTE PARA LA VICTORIA,28.15,0.96,1.85,41.47,0.92,26.65,6784,232,445,9992,221,6422,74.76,32772,24501,0.97,0.06,0.62,238,14,153
SALTA_MOLINOS,"Molinos, Salta",ALIANZA FRENTE PARA LA VICTORIA,15.27,1.06,1.06,60.33,0.8,21.47,475,33,33,1877,25,668,72.11,4382,3160,1.27,0.13,0.16,40,4,5
SALTA_ORAN,"Oran, Salta",ALIANZA FRENTE PARA LA VICTORIA,20.03,0.81,3.03,47.53,0.82,27.78,14947,602,2264,35460,611,20729,70.83,107166,75910,1.07,0.09,0.55,814,68,415
SALTA_RIVADAVIA,"Rivadavia, Salta",ALIANZA FRENTE PARA LA VICTORIA,3.62,0.95,0.6,86.52,0.58,7.73,384,101,64,9182,62,820,66.38,16176,10737,0.77,0.21,0.17,83,23,18
SALTA_ROSARIO DE LA FRONTERA,"Rosario De La Frontera, Salta",ALIANZA FRENTE PARA LA VICTORIA,20.88,0.81,1.67,49.21,0.9,26.53,3769,147,301,8882,162,4788,76.79,23886,18343,1.07,0.05,0.48,197,9,88
SALTA_ROSARIO DE LERMA,"Rosario De Lerma, Salta",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),17.35,0.79,2.16,32.71,0.93,46.05,4114,188,512,7757,220,10920,79.59,30417,24210,1.23,0.14,0.69,297,35,167
SALTA_SAN CARLOS,"San Carlos, Salta",ALIANZA FRENTE PARA LA VICTORIA,15.15,1,1.7,59.36,0.95,21.84,607,40,68,2378,38,875,71.39,5670,4048,0.64,0.12,0.27,26,5,11
SALTA_GENERAL JOSE DE SAN MARTIN,"San Martin, Salta",ALIANZA FRENTE PARA LA VICTORIA,13.15,0.76,2.11,61.77,0.8,21.41,11015,639,1772,51757,674,17937,69.69,121745,84840,0.69,0.06,0.48,583,52,411
SALTA_SANTA VICTORIA,"Santa Victoria, Salta",ALIANZA FRENTE PARA LA VICTORIA,11.51,1.3,1.3,58.79,0.84,26.25,150,17,17,766,11,342,64.49,2053,1324,1.06,0,0.53,14,0,7
SAN JUAN_25 DE MAYO,"25 De Mayo, San Juan",ALIANZA FRENTE PARA LA VICTORIA,9.37,5.82,0.89,56.36,1.33,26.23,854,530,81,5137,121,2391,80.38,11865,9537,3.85,0.19,0.4,367,18,38
SAN JUAN_ALBARDON,"Albardon, San Juan",ALIANZA FRENTE PARA LA VICTORIA,16.71,3.8,1.14,53.78,4.53,20.05,2336,531,160,7520,633,2803,84.58,17600,14886,5.62,0.08,0.36,837,12,54
SAN JUAN_ANGACO,"Angaco, San Juan",ALIANZA FRENTE PARA LA VICTORIA,22.7,2.35,0.97,52.06,0.99,20.93,1219,126,52,2795,53,1124,83.82,6819,5716,5.6,0.09,0.38,320,5,22
SAN JUAN_CALINGASTA,"Calingasta, San Juan",ALIANZA FRENTE PARA LA VICTORIA,10.76,5.03,0.89,57.7,0.55,25.07,592,277,49,3176,30,1380,80.83,7356,5946,6.56,0.05,0.82,390,3,49
SAN JUAN_CAPITAL,"Capital, San Juan",ALIANZA CAMBIEMOS,38.66,2.19,1.77,32.12,2.27,22.98,26898,1526,1229,22346,1581,15990,80.51,90470,72841,3.61,0.1,0.79,2626,73,572
SAN JUAN_CAUCETE,"Caucete, San Juan",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),13.71,6.64,0.79,38,0.61,40.26,2824,1367,162,7829,125,8295,81.73,27593,22551,7.97,0.16,0.51,1798,35,116
SAN JUAN_CHIMBAS,"Chimbas, San Juan",ALIANZA FRENTE PARA LA VICTORIA,15.6,2.46,1.44,55.25,1.46,23.79,7148,1126,658,25310,669,10897,82.27,59155,48668,4.73,0.18,0.97,2303,87,470
SAN JUAN_IGLESIA,"Iglesia, San Juan",ALIANZA FRENTE PARA LA VICTORIA,14.86,2.29,1.09,51.56,1.18,29.03,695,107,51,2412,55,1358,81.32,6516,5299,10.42,0.02,1.28,552,1,68
SAN JUAN_JACHAL,"Jachal, San Juan",ALIANZA FRENTE PARA LA VICTORIA,12.01,3.33,2.87,44.59,7.03,30.17,1571,436,375,5832,919,3945,82.49,16980,14007,5.28,0.04,1.31,739,6,184
SAN JUAN_9 DE JULIO,"Nueve De Julio, San Juan",ALIANZA FRENTE PARA LA VICTORIA,8.08,5.63,0.58,50.51,0.46,34.75,532,371,38,3326,30,2288,87.79,8267,7258,8.54,0.18,0.55,620,13,40
SAN JUAN_POCITO,"Pocito, San Juan",ALIANZA FRENTE PARA LA VICTORIA,14.37,2.9,1.59,60.54,1.02,19.57,4029,814,447,16972,286,5488,82.73,36300,30030,5.53,0.14,0.97,1661,43,290
SAN JUAN_RAWSON,"Rawson, San Juan",ALIANZA FRENTE PARA LA VICTORIA,17,2.87,1.68,49.9,1.39,27.16,11580,1957,1144,33994,946,18506,81.77,88123,72061,4.44,0.14,0.88,3200,98,636
SAN JUAN_RIVADAVIA,"Rivadavia, San Juan",ALIANZA FRENTE PARA LA VICTORIA,26.51,3.29,1.61,39.1,1.83,27.65,13680,1700,830,20176,942,14267,83.72,65174,54562,4.54,0.14,0.76,2476,76,415
SAN JUAN_SAN MARTIN,"San Martin, San Juan",ALIANZA FRENTE PARA LA VICTORIA,9.99,5.92,0.95,56.35,1.6,25.21,675,400,64,3809,108,1704,86.24,8615,7430,8.33,0.07,0.62,619,5,46
