id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MST - NUEVA IZQUIERDA_perc,PARTIDO POPULAR_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MST - NUEVA IZQUIERDA_votos,PARTIDO POPULAR_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
BUENOS AIRES_MONTE,"Monte, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,30.55,0.62,1.49,41.01,0.22,2.65,22.54,0.32,0.17,0.13,0.3,3667,74,179,4923,27,318,2706,38,20,16,36,71.45,17951,12826,5.96,0.02,0.42,765,3,54
BUENOS AIRES_MONTE HERMOSO,"Monte Hermoso, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,29.58,0.66,3.42,41.94,0.18,1.53,22.4,0.2,0.02,0.05,0.04,1668,37,193,2365,10,86,1263,11,1,3,2,75.23,7909,5950,4.34,0.07,0.82,258,4,49
BUENOS AIRES_MORENO,"Moreno, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,15.61,1.2,2.93,48.93,0.6,3.28,25.97,0.49,0.18,0.46,0.35,33114,2539,6223,103770,1275,6959,55070,1043,381,970,739,73.03,308754,225476,5.1,0.06,0.78,11506,126,1761
BUENOS AIRES_MORON,"Moron, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,32.37,1.11,4.33,32.59,0.37,8.53,19.3,0.54,0.15,0.51,0.2,63088,2159,8444,63520,714,16621,37606,1046,290,1001,389,74.96,270616,202856,3.04,0.03,0.86,6160,64,1754
BUENOS AIRES_NAVARRO,"Navarro, Buenos Aires",ALIANZA CAMBIEMOS,41.93,0.63,0.92,39.62,0.35,1.37,14.34,0.33,0.12,0.19,0.2,3599,54,79,3401,30,118,1231,28,10,16,17,66.34,13777,9139,5.36,0.05,0.67,490,5,61
BUENOS AIRES_NECOCHEA,"Necochea, Buenos Aires",ALIANZA CAMBIEMOS,46.62,1.35,1.88,26.64,0.57,5.05,16.93,0.35,0.13,0.22,0.24,25698,745,1034,14686,313,2784,9334,194,74,122,135,72.32,80704,58362,4.65,0.02,0.88,2716,14,513
BUENOS AIRES_9 DE JULIO,"Nueve De Julio, Buenos Aires",ALIANZA CAMBIEMOS,47.53,1.44,1.55,29.89,0.14,5.07,13.24,0.32,0.32,0.32,0.2,13821,419,450,8692,40,1475,3849,92,94,92,57,76.62,40042,30679,4.45,0.02,0.74,1364,7,227
BUENOS AIRES_OLAVARRIA,"Olavarria, Buenos Aires",ALIANZA CAMBIEMOS,33.46,1.44,3.02,32.16,0.39,2.77,25.22,0.78,0.17,0.33,0.27,22471,969,2026,21592,264,1859,16933,522,111,220,181,76.72,92522,70980,4.5,0.09,0.81,3194,64,574
BUENOS AIRES_PATAGONES,"Patagones, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,32.47,0.65,1.26,40.13,0.56,2.88,20.68,0.39,0.35,0.24,0.38,5456,110,211,6743,94,484,3475,65,58,41,64,73.18,24395,17853,5.07,0.18,0.64,905,32,115
BUENOS AIRES_PEHUAJO,"Pehuajo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,31.08,1.13,1.81,39.06,0.21,2.71,22.79,0.53,0.2,0.2,0.28,7457,270,434,9373,51,650,5468,127,49,49,68,77.81,33343,25945,6.29,0.03,1.19,1631,8,310
BUENOS AIRES_PELLEGRINI,"Pellegrini, Buenos Aires",ALIANZA CAMBIEMOS,60.82,0.35,0.67,18.32,0.02,1.38,18.1,0.07,0.15,0.1,0.02,2467,14,27,743,1,56,734,3,6,4,1,83.8,5149,4315,5.72,0,0.28,247,0,12
BUENOS AIRES_PERGAMINO,"Pergamino, Buenos Aires",ALIANZA CAMBIEMOS,43.65,1.88,2.4,27.23,0.52,4.19,19.18,0.25,0.11,0.34,0.25,25694,1104,1411,16028,304,2469,11291,150,62,202,145,71.96,86863,62505,4.85,0.09,0.89,3032,56,557
BUENOS AIRES_PILA,"Pila, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,26.35,0.36,0.32,42.16,0.09,2.59,27.76,0.18,0.05,0,0.14,580,8,7,928,2,57,611,4,1,0,3,76.04,3047,2317,4.83,0.13,0.04,112,3,1
BUENOS AIRES_PILAR,"Pilar, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,30.68,1.25,2.71,44.23,0.36,2.55,16.73,0.48,0.24,0.44,0.33,23086,943,2040,33283,268,1922,12588,358,184,329,250,70.73,112276,79416,4.35,0.06,0.83,3456,51,658
BUENOS AIRES_PINAMAR,"Pinamar, Buenos Aires",ALIANZA CAMBIEMOS,45.81,2.31,2.32,29.47,0.3,3.77,15.16,0.4,0.06,0.13,0.28,5559,280,281,3577,36,457,1840,49,7,16,34,59.48,22430,13341,8.02,0.02,0.99,1070,3,132
BUENOS AIRES_PRESIDENTE PERON,"Presidente Peron, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,14.99,0.82,3.18,49.72,0.43,1.76,27.59,0.56,0.2,0.5,0.25,6129,336,1300,20327,176,719,11279,230,83,204,102,73.47,60026,44099,6.58,0.04,0.67,2900,18,296
BUENOS AIRES_PUAN,"Puan, Buenos Aires",ALIANZA CAMBIEMOS,55.88,1.25,2.12,22.42,0.27,5.98,11.37,0.38,0.05,0.16,0.11,1027,23,39,412,5,110,209,7,1,3,2,81.66,2388,1950,4.77,0.1,0.87,93,2,17
BUENOS AIRES_PUNTA INDIO,"Punta Indio, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,38.57,0.64,1.79,43.47,1.23,2.33,10.87,0.34,0.18,0.21,0.37,2412,40,112,2718,77,146,680,21,11,13,23,77.93,9073,7071,11.17,0.03,0.37,790,2,26
BUENOS AIRES_QUILMES,"Quilmes, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,26.39,1.16,3.76,44.72,0.73,3.72,18.11,0.54,0.14,0.46,0.27,65590,2874,9352,111175,1827,9259,45026,1335,336,1145,665,71.52,368289,263388,4.67,0.13,0.82,12294,351,2159
BUENOS AIRES_RAMALLO,"Ramallo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,35.29,0.94,1.71,38.55,0.28,4.02,18.3,0.37,0.11,0.23,0.21,6635,177,321,7248,53,755,3441,69,21,43,39,78.07,25685,20053,6.06,0.02,0.16,1215,4,32
BUENOS AIRES_RAUCH,"Rauch, Buenos Aires",ALIANZA CAMBIEMOS,44.01,0.36,1.87,40.62,0.14,3.73,8.81,0.18,0.06,0,0.21,3831,31,163,3536,12,325,767,16,5,0,18,72.93,12965,9456,7.78,0.05,0.12,736,5,11
BUENOS AIRES_RIVADAVIA,"Rivadavia, Buenos Aires",ALIANZA CAMBIEMOS,44.86,1.02,0.87,18.84,0.16,3.55,29.99,0.22,0.12,0.12,0.24,4480,102,87,1881,16,355,2995,22,12,12,24,79.8,13584,10840,7.67,0.01,0.2,831,1,22
BUENOS AIRES_ROJAS,"Rojas, Buenos Aires",ALIANZA CAMBIEMOS,45.1,1.54,1.79,23.33,0.15,5.08,22.29,0.27,0.17,0.16,0.13,6431,219,255,3327,21,725,3179,38,24,23,18,78.67,19766,15549,7.4,0.03,0.87,1150,4,135
BUENOS AIRES_ROQUE PEREZ,"Roque Perez, Buenos Aires",ALIANZA CAMBIEMOS,37.57,0.52,0.82,37.08,0.21,2.32,20.77,0.19,0.09,0.16,0.25,2514,35,55,2481,14,155,1390,13,6,11,17,71.13,10032,7136,5.31,0.01,0.91,379,1,65
BUENOS AIRES_SAAVEDRA,"Saavedra, Buenos Aires",ALIANZA CAMBIEMOS,36.71,0.54,1.7,31.1,0.2,11.03,17.84,0.31,0.14,0.16,0.28,4621,68,214,3914,25,1388,2245,39,18,20,35,75.67,17677,13376,4.07,0.06,1.76,545,8,236
BUENOS AIRES_SALADILLO,"Saladillo, Buenos Aires",ALIANZA CAMBIEMOS,56.56,0.5,1.56,25.22,0.24,2.46,12.8,0.17,0.14,0.16,0.19,9696,86,268,4323,41,421,2194,30,24,27,33,73.38,25293,18561,6.61,0.05,0.99,1226,9,183
BUENOS AIRES_SALLIQUELO,"Salliquelo, Buenos Aires",ALIANZA CAMBIEMOS,43.81,0.53,0.69,35.52,0.11,2.54,16.34,0.11,0.1,0.11,0.13,2293,28,36,1859,6,133,855,6,5,6,7,78.84,7711,6079,13.69,0.02,0.2,832,1,12
BUENOS AIRES_SALTO,"Salto, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,32.85,0.95,2.75,35.57,0.28,5.23,21.47,0.28,0.12,0.24,0.27,6035,175,506,6535,52,961,3944,51,22,44,49,71.15,27367,19472,5.33,0.01,0.3,1038,2,58
BUENOS AIRES_SAN ANDRES DE GILES,"San Andres De Giles, Buenos Aires",ALIANZA CAMBIEMOS,35.26,1.37,1.45,28.7,0.43,3.27,28.26,0.37,0.2,0.22,0.48,4561,177,187,3712,56,423,3656,48,26,28,62,76.02,18564,14113,8.09,0.09,0.16,1142,12,23
BUENOS AIRES_SAN ANTONIO DE ARECO,"San Antonio De Areco, Buenos Aires",ALIANZA CAMBIEMOS,39.86,0.75,3.49,35.26,0.18,4.56,14.95,0.31,0.11,0.23,0.31,5613,105,492,4966,25,642,2105,44,15,32,44,76.97,19182,14765,4.04,0.07,0.51,596,10,76
BUENOS AIRES_SAN CAYETANO,"San Cayetano, Buenos Aires",ALIANZA CAMBIEMOS,48.01,2.58,0.67,30.14,0.1,3.46,14.7,0.08,0,0.12,0.14,2362,127,33,1483,5,170,723,4,0,6,7,78.12,6810,5320,7.14,0,0.38,380,0,20
BUENOS AIRES_SAN FERNANDO,"San Fernando, Buenos Aires",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),26.68,0.88,3.32,31.53,0.3,3.76,32.35,0.49,0.12,0.38,0.19,22718,749,2830,26855,256,3202,27550,417,98,322,165,72.74,122895,89399,4.32,0.05,0.37,3864,42,331
BUENOS AIRES_SAN ISIDRO,"San Isidro, Buenos Aires",ALIANZA CAMBIEMOS,52.81,0.66,3.26,19.75,0.37,6.84,15.4,0.36,0.09,0.38,0.1,71522,888,4419,26750,503,9268,20854,484,118,509,130,74.1,189548,140458,2.82,0.05,0.7,3957,76,980
BUENOS AIRES_SAN MIGUEL,"San Miguel, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,24.03,1,3.84,40.18,0.5,4.02,25.09,0.53,0.12,0.43,0.26,37195,1547,5943,62200,779,6216,38831,815,191,670,400,74.58,218405,162876,4.1,0.05,0.81,6686,82,1321
BUENOS AIRES_SAN NICOLAS,"San Nicolas, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,26.93,1.58,2.31,38.75,0.64,4.52,24.21,0.44,0.17,0.23,0.22,22003,1292,1885,31665,525,3694,19787,361,135,190,182,73.23,118686,86913,5.32,0.03,0.63,4620,28,546
BUENOS AIRES_SAN PEDRO,"San Pedro, Buenos Aires",ALIANZA CAMBIEMOS,44.2,2.02,1.74,30.22,0.32,3.18,17.11,0.35,0.34,0.29,0.24,14223,651,560,9724,103,1023,5505,114,109,92,77,72.48,47467,34406,5.28,0.02,1.16,1818,7,400
BUENOS AIRES_SAN VICENTE,"San Vicente, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,25.2,1.36,2.07,41.19,0.31,1.74,26.89,0.42,0.22,0.31,0.29,8845,478,725,14457,109,611,9438,149,77,110,101,75.55,49301,37245,5.08,0.04,0.64,1891,16,238
BUENOS AIRES_SUIPACHA,"Suipacha, Buenos Aires",ALIANZA CAMBIEMOS,41.86,0.75,1.5,35.54,0.2,1.52,17.9,0.12,0.11,0.28,0.21,2729,49,98,2317,13,99,1167,8,7,18,14,75.09,9053,6798,3.77,0.03,0.31,256,2,21
BUENOS AIRES_TANDIL,"Tandil, Buenos Aires",ALIANZA CAMBIEMOS,41.3,1.35,2.85,31.9,0.23,4.9,16.63,0.38,0.16,0.08,0.2,30526,996,2109,23578,171,3624,12290,283,119,57,151,75.24,104036,78277,4.52,0.05,1.02,3539,39,795
BUENOS AIRES_TAPALQUE,"Tapalque, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,36.94,0.39,0.75,44.82,0.09,2.35,14.36,0.1,0.03,0.09,0.09,2166,23,44,2628,5,138,842,6,2,5,5,75.49,8187,6180,4.68,0,0.44,289,0,27
BUENOS AIRES_TIGRE,"Tigre, Buenos Aires",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),24.11,1.07,4.17,29.42,0.46,3.4,35.63,0.63,0.29,0.52,0.31,50195,2219,8673,61238,956,7081,74162,1315,600,1091,639,75.28,289796,218172,3.88,0.03,0.68,8456,72,1475
BUENOS AIRES_TORDILLO,"Tordillo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,31.6,0.15,0.15,37.26,0.08,0.54,30.07,0.08,0,0,0.08,413,2,2,487,1,7,393,1,0,0,1,79.93,1734,1386,4.98,0.14,0.58,69,2,8
BUENOS AIRES_TORNQUIST,"Tornquist, Buenos Aires",ALIANZA CAMBIEMOS,43.5,1.28,2.94,29.89,1.54,3.46,16.53,0.29,0.22,0.18,0.18,3955,116,267,2717,140,315,1503,26,20,16,16,78.98,12156,9601,4.56,0.08,0.67,438,8,64
BUENOS AIRES_TRENQUE LAUQUEN,"Trenque Lauquen, Buenos Aires",ALIANZA CAMBIEMOS,41.42,0.65,1.27,32.15,0.34,4.38,18.94,0.24,0.1,0.22,0.29,10316,161,317,8008,84,1090,4717,61,25,55,72,74.26,37007,27483,8.46,0.07,0.85,2325,18,234
BUENOS AIRES_TRES ARROYOS,"Tres Arroyos, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,34.04,1.23,2.55,34.78,0.17,4.02,22.1,0.35,0.15,0.3,0.32,11910,432,893,12170,60,1405,7732,122,54,104,111,74.82,51001,38161,7.14,0.23,0.94,2723,86,359
BUENOS AIRES_TRES DE FEBRERO,"Tres De Febrero, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,29.11,0.94,4.36,33.99,0.49,5.08,24.63,0.49,0.14,0.51,0.26,59006,1900,8835,68891,996,10293,49921,1002,277,1035,523,72.55,291026,211133,3.17,0.07,0.77,6684,150,1620
BUENOS AIRES_TRES LOMAS,"Tres Lomas, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,39.41,0.58,0.94,47.31,0.09,1.2,9.85,0.09,0.14,0.14,0.25,1712,25,41,2055,4,52,428,4,6,6,11,77.75,6055,4708,7.22,0.17,0.34,340,8,16
BUENOS AIRES_25 DE MAYO,"Veinticinco De Mayo, Buenos Aires",ALIANZA CAMBIEMOS,41.56,0.42,2.39,29.52,0.19,3.77,21.47,0.19,0.11,0.15,0.24,8068,81,463,5730,37,731,4167,36,22,30,46,70.89,29934,21220,8.14,0,0.38,1728,0,81
BUENOS AIRES_VICENTE LOPEZ,"Vicente Lopez, Buenos Aires",ALIANZA CAMBIEMOS,47.12,0.98,4.31,20.64,0.37,9.25,16.18,0.48,0.09,0.44,0.13,80268,1662,7339,35163,622,15762,27562,816,161,757,221,72.54,243027,176301,2.69,0.06,0.64,4744,97,1127
BUENOS AIRES_VILLA GESELL,"Villa Gesell, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,35.77,0.74,1.93,38.47,0.75,2.87,18.47,0.42,0.11,0.22,0.23,6103,127,330,6564,128,490,3152,72,18,38,39,62.94,28724,18079,4.81,0.03,0.8,869,5,144
BUENOS AIRES_VILLARINO,"Villarino, Buenos Aires",ALIANZA CAMBIEMOS,38.09,1.2,1.55,29.77,0.55,7.87,18.33,0.46,0.24,0.24,1.71,5987,189,243,4678,87,1237,2880,72,37,38,268,71.71,25279,18128,12.56,0.02,0.73,2276,3,133
BUENOS AIRES_ZARATE,"Zarate, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,25.76,1.08,2.65,41.55,0.36,3.55,23.65,0.46,0.26,0.36,0.32,16276,685,1674,26253,230,2241,14939,288,163,228,203,75.59,88633,66998,5.04,0.04,0.61,3379,28,411
CATAMARCA_AMBATO,"Ambato, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,21.54,0.19,0.31,59.12,0.25,0.15,18.02,0.09,0.15,0.06,0.12,698,6,10,1916,8,5,584,3,5,2,4,72.88,4768,3475,6.39,0,0.35,222,0,12
CATAMARCA_ANCASTI,"Ancasti, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,45.2,0.46,0.58,51.56,0.12,0.35,1.1,0.06,0.06,0.35,0.17,781,8,10,891,2,6,19,1,1,6,3,70.29,2693,1893,7.82,0.48,0.42,148,9,8
CATAMARCA_ANTOFAGASTA DE LA SIERRA,"Antofagasta de la Sierra, Catamarca",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHUBUT_GASTRE,"Gastre, Chubut",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CATAMARCA_ANDALGALA,"Andalgala, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,32.01,0.75,1.25,52.26,0.28,3.55,7.57,0.39,0.31,1.39,0.25,1154,27,45,1884,10,128,273,14,11,50,9,67.89,6148,4174,12.51,0.19,0.93,522,8,39
CATAMARCA_BELEN,"Belen, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,36.1,0.37,0.82,54.35,0.23,1.04,6.32,0.19,0.12,0.32,0.14,4838,49,110,7284,31,139,847,25,16,43,19,71.88,20320,14606,7.7,0.01,0.53,1125,2,78
CATAMARCA_CAPAYAN,"Capayan, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,28.67,0.79,1.59,53.48,0.38,0.73,12.85,0.18,0.23,0.92,0.17,2346,65,130,4376,31,60,1051,15,19,75,14,68.14,12900,8790,6.38,0.1,0.43,561,9,38
CATAMARCA_CAPITAL,"Capital, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,33.24,0.82,1.55,44.61,0.44,1.2,16.87,0.25,0.27,0.4,0.35,21502,533,1004,28854,284,775,10915,161,173,259,224,64.04,107671,68952,4.82,0.16,1.2,3326,112,830
CATAMARCA_EL ALTO,"El Alto, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,34.36,0.33,0.33,54.1,0.17,0.73,9.2,0.11,0.22,0.22,0.22,616,6,6,970,3,13,165,2,4,4,4,70.85,2679,1898,4.95,0.05,0.53,94,1,10
CATAMARCA_FRAY MAMERTO ESQUIU,"Fray Mamerto Esquiu, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,27.84,0.53,1.97,55.26,0.16,0.45,12.93,0.43,0.06,0.22,0.14,1410,27,100,2799,8,23,655,22,3,11,7,66.58,8076,5377,5.28,0.09,0.43,284,5,23
CATAMARCA_LA PAZ,"La Paz, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,26.27,0.42,0.57,58.56,0.27,0.55,12.56,0.2,0.27,0.11,0.21,2974,48,65,6628,30,62,1422,23,31,12,24,67.73,17516,11863,4,0.05,0.53,475,6,63
CATAMARCA_PACLIN,"Paclin, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,41.54,0.2,0.41,52.94,0.25,0.1,4.2,0.1,0.1,0.1,0.05,820,4,8,1045,5,2,83,2,2,2,1,61.44,3677,2259,12.31,0.13,0.18,278,3,4
CATAMARCA_POMAN,"Poman, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,27.13,0.34,0.59,66.51,0.24,0.34,4.41,0.16,0.13,0.13,0.03,1700,21,37,4167,15,21,276,10,8,8,2,79.07,8408,6648,4.81,0.24,0.71,320,16,47
CATAMARCA_SANTA MARIA,"Santa Maria, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,25.06,0.52,0.49,57.26,1.61,1.62,12.45,0.22,0.16,0.45,0.16,3167,66,62,7236,204,205,1573,28,20,57,20,71.51,18921,13531,5.3,0.07,1.23,717,9,167
CATAMARCA_SANTA ROSA,"Santa Rosa, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,15,0.35,0.92,79.31,0.18,0.32,3.57,0.11,0.04,0.07,0.14,424,10,26,2242,5,9,101,3,1,2,4,70.01,4182,2928,2.6,0.1,0.75,76,3,22
CATAMARCA_TINOGASTA,"Tinogasta, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,34.37,0.58,0.5,56.98,0.16,0.99,5.94,0.13,0.15,0.1,0.1,3819,64,55,6331,18,110,660,14,17,11,11,69.62,17352,12081,7.28,0.09,0.66,880,11,80
CATAMARCA_VALLE VIEJO,"Valle Viejo, Catamarca",ALIANZA FRENTE PARA LA VICTORIA,35.51,0.28,1.16,46.84,0.32,1.62,13.12,0.67,0.11,0.22,0.16,2691,21,88,3550,24,123,994,51,8,17,12,59.42,13384,7953,3.72,0.04,0.94,296,3,75
CHACO_12 DE OCTUBRE,"12 De Octubre, Chaco",ALIANZA FRENTE PARA LA VICTORIA,30.83,0.37,1.11,57.88,0.29,0.6,7.53,0.33,0.1,0.62,0.33,3986,48,144,7482,37,78,973,43,13,80,43,71.87,18531,13318,2.59,0.02,0.33,345,2,44
CHACO_2 DE ABRIL,"2 De Abril, Chaco",ALIANZA FRENTE PARA LA VICTORIA,27.12,0.22,0.88,60.54,0.2,0.54,9.5,0.07,0.12,0.52,0.29,1105,9,36,2467,8,22,387,3,5,21,12,73.84,5608,4141,1.45,0,0.14,60,0,6
CHACO_25 DE MAYO,"25 De Mayo, Chaco",ALIANZA FRENTE PARA LA VICTORIA,22.65,0.76,1.26,63.91,0.7,1.36,7.79,0.6,0.16,0.35,0.45,3376,114,188,9527,104,203,1161,90,24,52,67,66.05,23195,15321,2.23,0.16,0.32,341,25,49
CHACO_9 DE JULIO,"9 De Julio, Chaco",ALIANZA FRENTE PARA LA VICTORIA,30.41,0.44,0.84,54.3,0.2,0.93,12.05,0.3,0.1,0.13,0.3,4741,68,131,8466,31,145,1879,47,16,20,46,70.12,22652,15884,1.38,0.04,0.43,219,6,69
CHACO_ALMIRANTE BROWN,"Almirante Brown, Chaco",ALIANZA FRENTE PARA LA VICTORIA,19.32,0.35,0.7,69.32,0.18,0.63,7.72,0.15,0.09,0.19,1.35,3387,62,122,12153,32,111,1353,27,16,33,236,66.21,26867,17789,1.25,0.01,0.19,223,1,33
CHACO_BERMEJO,"Bermejo, Chaco",ALIANZA FRENTE PARA LA VICTORIA,17.36,0.55,1.18,64.95,0.84,0.84,12.97,0.42,0.19,0.37,0.32,2696,86,183,10087,131,131,2014,65,29,58,50,74.41,21403,15926,2.23,0.02,0.24,355,3,38
CHACO_CHACABUCO,"Chacabuco, Chaco",ALIANZA FRENTE PARA LA VICTORIA,30.65,0.72,1.47,49.23,0.62,1.18,14.53,0.72,0.13,0.31,0.44,5459,128,261,8770,110,210,2589,128,24,56,78,72.41,25216,18258,1.93,0.01,0.5,353,1,91
CHACO_COMANDANTE FERNANDEZ,"Comandante Fernandez, Chaco",ALIANZA FRENTE PARA LA VICTORIA,34.68,1.02,1.93,42.99,0.59,2,14.88,0.7,0.16,0.4,0.66,15963,468,889,19786,273,920,6847,320,75,185,303,64.01,74304,47561,2.36,0.08,0.78,1122,38,372
CHACO_FRAY JUSTO SANTA MARIA DE ORO,"Fray J. Sta. Maria De Oro, Chaco",ALIANZA FRENTE PARA LA VICTORIA,34.01,0.23,0.61,56.13,0.13,0.77,7.77,0.13,0.01,0.07,0.13,2342,16,42,3866,9,53,535,9,1,5,9,71.66,9739,6979,1.26,0,0.06,88,0,4
CHACO_GENERAL BELGRANO,"General Belgrano, Chaco",ALIANZA FRENTE PARA LA VICTORIA,19.45,0.51,0.58,68.57,0.19,0.42,9.61,0.31,0,0.15,0.22,1146,30,34,4040,11,25,566,18,0,9,13,63.98,9376,5999,1.48,0.15,0.15,89,9,9
CHACO_GENERAL DONOVAN,"General Donovan, Chaco",ALIANZA FRENTE PARA LA VICTORIA,19.71,0.3,1.19,59.96,0.4,0.69,10.2,0.72,0.11,0.57,6.14,1769,27,107,5380,36,62,915,65,10,51,551,81.97,11309,9270,1.87,0.08,1.26,173,7,117
CHACO_GENERAL GUEMES,"General Guemes, Chaco",ALIANZA FRENTE PARA LA VICTORIA,20.95,0.36,1.15,66.75,0.6,1.08,7.12,0.47,0.13,0.22,1.16,7639,130,421,24343,219,394,2596,173,49,81,424,63.62,58814,37418,2.12,0.02,0.4,795,6,148
CHACO_INDEPENDENCIA,"Independencia, Chaco",ALIANZA FRENTE PARA LA VICTORIA,18.78,0.77,0.68,67.98,0.29,0.69,7.53,0.31,0.14,0.24,2.6,2135,87,77,7728,33,78,856,35,16,27,296,67.14,17235,11571,1.5,0.07,0.18,174,8,21
CHACO_LIBERTADOR GENERAL SAN MARTIN,"Lib. Gral. San Martin, Chaco",ALIANZA FRENTE PARA LA VICTORIA,22.78,0.52,0.97,61.75,1.04,1.02,8.57,0.4,0.58,0.29,2.09,7497,170,318,20323,342,336,2820,131,191,96,689,70.81,47416,33576,1.43,0.04,0.51,479,14,170
CHACO_LIBERTAD,"Libertad, Chaco",ALIANZA FRENTE PARA LA VICTORIA,20.47,0.69,2.16,61.42,0.65,1.09,11.93,0.58,0.2,0.35,0.47,1601,54,169,4804,51,85,933,45,16,27,37,81.41,9992,8134,3.36,0,0.48,273,0,39
CHACO_MAIPU,"Maipu, Chaco",ALIANZA FRENTE PARA LA VICTORIA,29.33,0.48,1.3,54.64,0.81,1.23,10.48,0.64,0.16,0.35,0.58,3444,56,153,6417,95,145,1231,75,19,41,68,61.2,19875,12163,2.26,1.01,0.17,275,123,21
CHACO_MAYOR LUIS J. FONTANA,"Mayor L. J. Fontana, Chaco",ALIANZA FRENTE PARA LA VICTORIA,25.44,0.72,1.27,52.92,0.58,1.68,15.3,0.64,0.17,0.35,0.93,8124,231,407,16901,186,537,4886,203,53,111,298,73.2,45099,33011,2.96,0.02,0.28,978,5,91
CHACO_O'HIGGINS,"O'Higgins, Chaco",ALIANZA FRENTE PARA LA VICTORIA,20.69,0.24,0.61,69.56,0.22,0.6,7.09,0.38,0.1,0.28,0.22,2392,28,71,8042,26,69,820,44,11,32,26,71.04,16702,11865,2.24,0.02,0.3,266,2,36
CHACO_PRESIDENCIA DE LA PLAZA,"Pcia. De La Plaza, Chaco",ALIANZA FRENTE PARA LA VICTORIA,28.4,0.62,0.84,60.13,0.76,0.84,7.11,0.49,0.16,0.28,0.37,1753,38,52,3712,47,52,439,30,10,17,23,67.13,9419,6323,1.8,0.05,0.52,114,3,33
CHACO_1° DE MAYO,"Primero De Mayo, Chaco",ALIANZA FRENTE PARA LA VICTORIA,22.02,0.5,1.05,62.2,0.39,0.94,11.14,0.58,0.22,0.54,0.42,1633,37,78,4613,29,70,826,43,16,40,31,80.41,9448,7597,2.07,0,0.32,157,0,24
