,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
128,BUENOS AIRES_TRES ARROYOS,"Tres Arroyos, Buenos Aires",FRENTE DE TODOS,6.04,2.15,47.19,1.15,41.91,1.56,2302,818,17985,439,15973,595,79.15,49684,39323,2.28,0.25,0.55,897,99,215
129,BUENOS AIRES_TRES DE FEBRERO,"Tres De Febrero, Buenos Aires",FRENTE DE TODOS,7.52,3.02,48.59,1.47,37.69,1.71,16391,6596,105968,3211,82191,3728,82.33,270534,222724,1.05,0.29,0.75,2338,635,1666
130,BUENOS AIRES_TRES LOMAS,"Tres Lomas, Buenos Aires",FRENTE DE TODOS,3.55,1.55,51.16,1.38,41.37,1,170,74,2450,66,1981,48,84.8,5882,4988,3.43,0.24,0.32,171,12,16
131,BUENOS AIRES_VICENTE LOPEZ,"Vicente Lopez, Buenos Aires",JUNTOS POR EL CAMBIO,6.52,2.83,30.37,0.7,57.79,1.78,11707,5086,54519,1252,103736,3203,81.59,224403,183090,1.06,0.16,0.74,1949,292,1346
132,BUENOS AIRES_VILLA GESELL,"Villa Gesell, Buenos Aires",FRENTE DE TODOS,5,2.95,49.16,1.78,39.75,1.36,1023,605,10068,364,8140,278,75.83,27785,21068,1.72,0.17,0.92,362,35,193
133,BUENOS AIRES_VILLARINO,"Villarino, Buenos Aires",JUNTOS POR EL CAMBIO,4.24,1.74,37.54,1.04,53.89,1.54,736,303,6519,180,9358,268,80.93,22927,18554,5.33,0.29,0.8,989,53,148
134,BUENOS AIRES_ZARATE,"Zarate, Buenos Aires",FRENTE DE TODOS,6.43,2.6,55.12,1.46,32.95,1.44,4644,1876,39790,1057,23785,1040,83.67,88219,73815,1.54,0.09,0.56,1139,69,415
135,CATAMARCA_AMBATO,"Ambato, Catamarca",FRENTE DE TODOS,9.23,0.54,65.52,0.34,23.62,0.75,358,21,2541,13,916,29,84.55,4932,4170,6.45,0.38,0.17,269,16,7
,CATAMARCA_ANTOFAGASTA DE LA SIERRA,"Antofagasta de la Sierra, Catamarca",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,CATAMARCA_ANCASTI,"Ancasti, Catamarca",FRENTE DE TODOS,1.24,1.09,61.98,0.19,34.98,0.52,26,23,1304,4,736,11,83.87,2914,2444,13.38,0.37,0.16,327,9,4
137,CATAMARCA_ANDALGALA,"Andalgala, Catamarca",FRENTE DE TODOS,2.59,1.3,57.89,0.83,36.62,0.77,271,136,6060,87,3834,81,78.22,14388,11254,6.19,0.2,0.59,697,22,66
138,CATAMARCA_BELEN,"Belen, Catamarca",FRENTE DE TODOS,2,1.09,55.96,0.52,39.7,0.73,325,177,9104,85,6458,119,80.2,21937,17594,6.71,0.1,0.72,1181,18,127
139,CATAMARCA_CAPAYAN,"Capayan, Catamarca",FRENTE DE TODOS,3.32,1.14,70.48,0.66,23.24,1.16,302,104,6402,60,2111,105,69.2,13877,9603,4.4,0.29,0.71,423,28,68
140,CATAMARCA_CAPITAL,"Capital, Catamarca",FRENTE DE TODOS,7.83,2.09,49.97,1.28,36.97,1.87,6931,1846,44224,1129,32722,1651,74.39,124829,92856,3.52,0.22,0.94,3273,205,875
141,CATAMARCA_EL ALTO,"El Alto, Catamarca",FRENTE DE TODOS,2.11,0.55,76.25,0.62,19.92,0.55,65,17,2350,19,614,17,84.85,3869,3283,5.48,0.52,0.12,180,17,4
142,CATAMARCA_FRAY MAMERTO ESQUIU,"Fray Mamerto Esquiu, Catamarca",FRENTE DE TODOS,4.58,1.75,55.89,0.8,35.93,1.05,396,151,4836,69,3109,91,84.07,11133,9360,6.59,0.29,0.68,617,27,64
143,CATAMARCA_LA PAZ,"La Paz, Catamarca",FRENTE DE TODOS,5.97,0.65,67.43,0.66,24.73,0.56,828,90,9355,92,3431,78,78.25,19035,14894,6.06,0.24,0.55,902,36,82
144,CATAMARCA_PACLIN,"Paclin, Catamarca",FRENTE DE TODOS,1.51,0.67,60.38,0.29,36.67,0.48,47,21,1882,9,1143,15,85.88,3939,3383,7.48,0.24,0.15,253,8,5
145,CATAMARCA_POMAN,"Poman, Catamarca",FRENTE DE TODOS,1.89,0.87,64.36,0.84,31.48,0.57,130,60,4436,58,2170,39,82.7,8938,7392,5.41,1.07,0.27,400,79,20
146,CATAMARCA_SANTA MARIA,"Santa Maria, Catamarca",FRENTE DE TODOS,5.16,1.61,58.22,0.71,33.16,1.15,755,235,8523,104,4854,168,80.26,19724,15831,6.71,0.13,0.69,1062,21,109
147,CATAMARCA_SANTA ROSA,"Santa Rosa, Catamarca",FRENTE DE TODOS,4.65,0.81,73.63,0.97,19.16,0.77,363,63,5745,76,1495,60,80.47,10199,8207,4.22,0.19,0.52,346,16,43
148,CATAMARCA_TINOGASTA,"Tinogasta, Catamarca",FRENTE DE TODOS,4.78,1.1,58.97,0.45,33.85,0.85,637,147,7865,60,4515,113,78.6,18341,14416,6.48,0.42,0.58,934,61,84
149,CATAMARCA_VALLE VIEJO,"Valle Viejo, Catamarca",FRENTE DE TODOS,5.33,1.55,54.57,0.76,36.42,1.38,958,278,9809,137,6546,248,79.07,23846,18855,3.64,0.21,0.81,686,40,153
150,CHACO_12 DE OCTUBRE,"12 De Octubre, Chaco",FRENTE DE TODOS,2.94,0.4,63.66,1.42,30.96,0.61,432,59,9339,209,4542,89,75.5,19709,14880,0.85,0.09,0.47,126,14,70
151,CHACO_2 DE ABRIL,"2 De Abril, Chaco",FRENTE DE TODOS,2.15,0.59,54.72,3.61,38.46,0.47,106,29,2696,178,1895,23,78.6,6355,4995,0.92,0.02,0.42,46,1,21
152,CHACO_25 DE MAYO,"25 De Mayo, Chaco",FRENTE DE TODOS,2.54,0.66,66.61,1.58,27.74,0.86,488,127,12775,303,5321,165,77.2,25134,19404,0.75,0.09,0.32,145,18,62
153,CHACO_9 DE JULIO,"9 De Julio, Chaco",FRENTE DE TODOS,3.47,0.55,55.39,1.32,38.58,0.69,634,101,10106,240,7039,126,75.68,24528,18562,0.99,0.12,0.59,184,22,110
154,CHACO_ALMIRANTE BROWN,"Almirante Brown, Chaco",FRENTE DE TODOS,1.44,0.49,63.61,2.55,31.57,0.34,299,102,13228,531,6565,70,71.63,29403,21060,0.87,0.04,0.35,184,8,73
155,CHACO_BERMEJO,"Bermejo, Chaco",FRENTE DE TODOS,3.82,0.79,68.69,1.7,24.23,0.77,708,146,12715,314,4486,142,78.57,23948,18816,1.24,0.11,0.27,234,20,51
156,CHACO_CHACABUCO,"Chacabuco, Chaco",FRENTE DE TODOS,2.94,0.68,49.31,2.35,44.11,0.61,627,145,10531,502,9419,131,78.42,27543,21600,0.59,0.06,0.49,128,12,105
157,CHACO_COMANDANTE FERNANDEZ,"Comandante Fernandez , Chaco",FRENTE DE TODOS,3.2,0.97,50.36,2.28,42.07,1.12,2023,616,31874,1446,26624,709,78,82520,64368,0.9,0.09,0.68,578,58,440
158,CHACO_FRAY JUSTO SANTA MARIA DE ORO,"Fray Justo Sta. Maria De Oro, Chaco",FRENTE DE TODOS,1.85,0.43,55.4,5.27,36.24,0.81,139,32,4160,396,2721,61,74.72,10169,7598,0.91,0.04,0.22,69,3,17
159,CHACO_GENERAL BELGRANO,"General Belgrano, Chaco",FRENTE DE TODOS,2.4,0.59,71.32,0.84,24.27,0.57,188,46,5589,66,1902,45,76.72,10339,7932,0.78,0.01,0.42,62,1,33
160,CHACO_GENERAL DONOVAN,"General Donovan, Chaco",FRENTE DE TODOS,3.14,0.9,66.79,2.68,25.57,0.91,310,89,6594,265,2525,90,82.02,12185,9994,0.73,0.02,0.46,73,2,46
161,CHACO_GENERAL GUEMES,"General Guemes, Chaco",FRENTE DE TODOS,2.02,0.63,67.65,2.82,26.32,0.56,946,296,31672,1318,12321,263,69.54,68607,47706,1.24,0.09,0.54,590,44,256
162,CHACO_INDEPENDENCIA,"Independencia, Chaco",FRENTE DE TODOS,2.01,0.59,65.87,2.38,28.64,0.51,264,78,8662,313,3767,67,71.83,18581,13347,0.76,0.28,0.43,102,37,57
163,CHACO_LIBERTAD,"Libertad, Chaco",FRENTE DE TODOS,3.71,1.26,62.83,1.73,29.44,1.03,321,109,5438,150,2548,89,83.31,10537,8778,1,0.03,0.36,88,3,32
164,CHACO_LIBERTADOR GENERAL SAN MARTIN,"Libertador Gral. San Martin, Chaco",FRENTE DE TODOS,2.77,0.81,65.15,1.32,29.18,0.77,1095,320,25796,523,11555,304,77.98,51395,40078,0.61,0.09,0.51,243,38,204
165,CHACO_MAIPU,"Maipu, Chaco",FRENTE DE TODOS,1.88,0.71,63.3,2.22,31.23,0.66,270,102,9078,319,4478,94,71.67,20300,14550,1.18,0.03,0.23,172,4,33
166,CHACO_MAYOR LUIS J. FONTANA,"Mayor L. J. Fontana, Chaco",FRENTE DE TODOS,3.73,0.9,54.59,3,36.79,0.98,1436,347,20992,1152,14148,376,78.21,49971,39081,1.19,0.05,0.37,466,18,146
167,CHACO_O'HIGGINS,"O'Higgins, Chaco",FRENTE DE TODOS,1.95,0.68,70.53,1.41,24.91,0.51,263,92,9509,190,3359,69,77.07,17754,13683,1.13,0.07,0.27,155,9,37
168,CHACO_PRESIDENCIA DE LA PLAZA,"Presidencia De La  Plaza, Chaco",FRENTE DE TODOS,3.05,0.57,64.01,1.89,29.87,0.61,250,47,5252,155,2451,50,77.24,10766,8316,0.73,0.14,0.46,61,12,38
169,CHACO_1° DE MAYO,"Primero De Mayo, Chaco",FRENTE DE TODOS,4,0.77,58.15,1.9,34.26,0.92,356,69,5181,169,3052,82,82.42,10930,9009,0.61,0.06,0.44,55,5,40
170,CHACO_QUITILIPI,"Quitilipi, Chaco",FRENTE DE TODOS,5.14,0.94,57.98,1.7,33.3,0.94,1034,190,11672,343,6703,189,73.37,27740,20354,0.78,0.06,0.26,159,12,52
171,CHACO_SAN FERNANDO,"San Fernando, Chaco",FRENTE DE TODOS,5.26,1.29,47.18,3.88,40.78,1.6,14462,3553,129638,10661,112045,4392,80.91,345627,279641,0.75,0.12,0.89,2089,325,2476
172,CHACO_SAN LORENZO,"San Lorenzo , Chaco",FRENTE DE TODOS,2.39,0.64,70.25,4.46,21.76,0.5,230,62,6764,429,2095,48,76.1,12849,9778,1,0.12,0.41,98,12,40
173,CHACO_SARGENTO CABRAL,"Sargento Cabral , Chaco",FRENTE DE TODOS,2.35,0.81,70.18,1.55,24.56,0.56,285,98,8513,188,2979,68,80.26,15322,12298,1.12,0.07,0.16,138,9,20
174,CHACO_TAPENAGA,"Tapenaga, Chaco",FRENTE DE TODOS,1.37,0.52,63.96,4.73,29.17,0.26,32,12,1489,110,679,6,73.82,3208,2368,1.44,0.08,0.17,34,2,4
175,CHUBUT_BIEDMA,"Biedma, Chubut",FRENTE DE TODOS,8.23,4.51,49.77,5.2,29.36,2.93,4396,2409,26590,2778,15688,1566,78.26,70332,55045,0.97,0.07,1.9,534,37,1047
176,CHUBUT_CUSHAMEN,"Cushamen, Chubut",FRENTE DE TODOS,4.6,3.63,63.49,5.32,21.46,1.5,773,609,10663,894,3605,252,76.39,23138,17676,2.77,0.2,2,490,36,354
177,CHUBUT_ESCALANTE,"Escalante, Chubut",FRENTE DE TODOS,6.73,3.49,54.18,2.79,30.24,2.57,7695,3985,61957,3187,34578,2943,77.39,153717,118961,2.16,0.09,1.63,2573,104,1939
178,CHUBUT_FLORENTINO AMEGHINO,"F. Ameghino, Chubut",FRENTE DE TODOS,3.19,3.19,56.45,12.52,23.5,1.15,25,25,442,98,184,9,82.64,1158,957,16.51,0.63,1.04,158,6,10
179,CHUBUT_FUTALEUFU,"Futaleufu, Chubut",FRENTE DE TODOS,8.38,4.43,49.07,5.3,30.64,2.17,2347,1242,13746,1485,8582,609,75.17,38553,28981,1.76,0.09,1.49,510,27,433
180,CHUBUT_GAIMAN,"Gaiman, Chubut",FRENTE DE TODOS,7.82,3.33,48.05,3.78,35.03,1.98,572,244,3517,277,2564,145,78.59,9856,7746,3.94,0.4,1.17,305,31,91
181,CHUBUT_GASTRE,"Gastre, Chubut",FRENTE DE TODOS,7.12,2.67,69.73,5.04,13.35,2.08,24,9,235,17,45,7,58.17,600,349,2.29,0,1.15,8,0,4
182,CHUBUT_LANGUIÑEO,"Languiñeo, Chubut",FRENTE DE TODOS,5.77,3.23,63.78,1.85,23.99,1.38,50,28,553,16,208,12,67.34,1344,905,2.76,0.88,0.55,25,8,5
183,CHUBUT_MARTIRES,"Martires, Chubut",FRENTE DE TODOS,8.23,3.24,63.09,3.99,20.7,0.75,33,13,253,16,83,3,66.5,618,411,1.22,0.24,0.97,5,1,4
184,CHUBUT_PASO DE INDIOS,"Paso De Los Indios, Chubut",FRENTE DE TODOS,7.95,7.17,46.71,1.94,34.11,2.13,41,37,241,10,176,11,71.11,751,534,1.5,0,1.87,8,0,10
185,CHUBUT_RAWSON,"Rawson, Chubut",FRENTE DE TODOS,9.12,4.56,48.56,5.18,30.11,2.47,7647,3824,40719,4347,25247,2074,79.18,110342,87373,2.16,0.17,1.69,1890,150,1475
186,CHUBUT_RIO SENGUER,"Rio Senger, Chubut",FRENTE DE TODOS,3.81,2.57,63.48,3.07,26.04,1.02,123,83,2048,99,840,33,69.36,5053,3505,6.68,0.29,1,234,10,35
187,CHUBUT_SARMIENTO,"Sarmiento, Chubut",FRENTE DE TODOS,6.13,2.15,53.9,5.68,30.44,1.7,425,149,3738,394,2111,118,74.1,10075,7466,5.65,0.2,1.26,422,15,94
188,CHUBUT_TEHUELCHES,"Tehuelches, Chubut",FRENTE DE TODOS,4.54,1.86,68.17,3.38,21.11,0.93,156,64,2341,116,725,32,72.3,5028,3635,4.43,0.14,0.96,161,5,35
189,CHUBUT_TELSEN,"Telsen, Chubut",FRENTE DE TODOS,9.18,2.9,58.45,5.8,23.67,0,19,6,121,12,49,0,68.93,309,213,1.88,0,0.94,4,0,2
190,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 1,"Comuna 1, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,5.18,2.73,37.41,0.82,52.1,1.76,6559,3454,47335,1040,65919,2222,73.17,176817,129374,1.48,0.05,0.67,1915,62,868
191,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 10,"Comuna 10, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,8.24,3.13,37.3,0.68,48.43,2.22,9787,3723,44308,802,57531,2632,82.43,147632,121689,1.53,0.04,0.82,1867,46,993
192,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 11,"Comuna 11, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,7.66,2.89,34.06,0.62,52.69,2.08,10682,4034,47463,858,73435,2893,82.67,172674,142756,1.55,0.04,0.79,2215,55,1121
193,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 12,"Comuna 12, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,7,3.02,32.88,0.58,54.59,1.93,10755,4644,50543,894,83923,2962,82.78,189856,157157,1.43,0.04,0.72,2249,58,1129
194,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 13,"Comuna 13, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,5.28,2.39,23.72,0.5,66.52,1.6,9088,4115,40819,862,114485,2746,80.17,218884,175490,1.35,0.03,0.55,2367,46,962
195,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 14,"Comuna 14, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,4.76,2.28,24.85,0.48,66.11,1.51,7678,3684,40082,781,106615,2434,78.19,210288,164420,1.29,0.04,0.58,2129,69,948
196,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 15,"Comuna 15, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,6.88,3.55,40.11,0.6,47.03,1.83,8895,4598,51892,774,60835,2365,80.24,165334,132666,1.64,0.06,0.79,2180,81,1046
197,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 2,"Comuna 2, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,4.31,1.93,20.69,0.65,71.07,1.35,4683,2092,22456,704,77151,1466,77.25,142868,110368,1.12,0.04,0.49,1231,49,536
198,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 3,"Comuna 3, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,6.5,3.46,39.75,0.85,47.41,2.04,7665,4085,46903,998,55944,2408,76.34,158262,120810,1.5,0.06,0.76,1813,70,924
199,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 4,"Comuna 4, Ciudad Autonoma De Buenos Aires",FRENTE DE TODOS,6.53,3.23,46.21,0.89,41.27,1.87,9001,4444,63672,1220,56859,2583,79.66,177571,141450,1.77,0.03,0.8,2499,46,1126
200,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 5,"Comuna 5, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,6.94,3.56,39.4,0.63,47.49,1.98,8664,4451,49196,787,59291,2467,80.45,158815,127773,1.5,0.05,0.73,1919,64,934
201,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 6,"Comuna 6, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,6.78,3.13,33.25,0.5,54.49,1.86,8723,4022,42774,640,70103,2398,82.15,160104,131519,1.48,0.04,0.66,1947,47,865
202,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 7,"Comuna 7, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,7.13,2.98,39.04,0.74,48.02,2.11,9733,4062,53300,1004,65556,2877,80.56,173719,139941,1.62,0.05,0.77,2263,64,1082
203,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 8,"Comuna 8, Ciudad Autonoma De Buenos Aires",FRENTE DE TODOS,6.67,2.89,51.57,1.03,35.86,1.99,7420,3213,57387,1147,39903,2211,81.06,141183,114444,1.82,0.03,0.91,2083,37,1043
204,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 9,"Comuna 9, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,8.03,2.9,41.59,0.89,44.28,2.32,9462,3419,49028,1048,52200,2740,82.37,146578,120742,1.54,0.05,0.76,1865,63,917
205,CORDOBA_CALAMUCHITA,"Calamuchita, Cordoba",JUNTOS POR EL CAMBIO,5.38,1.93,33.92,1.67,55.75,1.36,2223,797,14020,689,23041,561,79.23,53868,42677,1.9,0.01,1.25,810,4,532
206,CORDOBA_CAPITAL,"Capital, Cordoba",JUNTOS POR EL CAMBIO,4.55,2.03,24.38,1.37,66.32,1.34,38858,17285,208102,11724,566018,11447,79.13,1111038,879215,1.71,0.08,1.14,15055,687,10039
207,CORDOBA_COLON,"Colon, Cordoba",JUNTOS POR EL CAMBIO,4.4,1.68,25.72,1.11,65.91,1.18,7923,3020,46311,1992,118659,2133,80.38,230853,185557,1.73,0.03,1.21,3214,62,2243
208,CORDOBA_CRUZ DEL EJE,"Cruz Del Eje, Cordoba",FRENTE DE TODOS,3.94,1.11,51.75,1.43,41.06,0.72,1449,409,19046,525,15112,264,75.29,50209,37804,1.71,0.05,0.88,645,20,334
209,CORDOBA_GENERAL ROCA,"General Roca, Cordoba",JUNTOS POR EL CAMBIO,4.89,0.84,36.64,1.07,55.46,1.1,1065,183,7978,233,12076,240,77.64,28800,22360,1.71,0.17,0.74,383,37,165
210,CORDOBA_GENERAL SAN MARTIN,"General San Martin, Cordoba",JUNTOS POR EL CAMBIO,5.55,1.5,37.3,2.53,51.49,1.63,4958,1342,33312,2264,45989,1452,79.35,115394,91565,1.5,0.03,0.92,1373,31,844
211,CORDOBA_ISCHILIN,"Ischilin, Cordoba",JUNTOS POR EL CAMBIO,4.46,1.16,41.51,1.26,50.8,0.81,936,244,8721,265,10671,170,77.66,27807,21596,1.7,0.02,1,368,5,216
212,CORDOBA_JUAREZ CELMAN,"Juarez Celman, Cordoba",JUNTOS POR EL CAMBIO,5.54,1.42,33.54,1.83,56.35,1.33,2280,583,13813,754,23206,549,80.16,52854,42369,1.76,0.01,1.03,744,3,437
213,CORDOBA_MARCOS JUAREZ,"Marcos Juarez, Cordoba",JUNTOS POR EL CAMBIO,5.97,1.15,31.48,1.39,58.42,1.58,4079,788,21500,947,39897,1079,80.13,87554,70155,2.06,0.04,0.55,1448,31,386
214,CORDOBA_MINAS,"Minas, Cordoba",FRENTE DE TODOS,4.32,1.04,57.92,0.72,35.57,0.43,150,36,2011,25,1235,15,70.57,5077,3583,2.4,0,0.7,86,0,25
215,CORDOBA_POCHO,"Pocho, Cordoba",FRENTE DE TODOS,2.83,1.13,48.45,2.45,44.8,0.35,90,36,1543,78,1427,11,69.28,4815,3336,3.84,0,0.69,128,0,23
216,CORDOBA_PUNILLA,"Punilla, Cordoba",JUNTOS POR EL CAMBIO,5.01,2.15,28.88,1.61,60.79,1.55,6549,2815,37765,2110,79496,2033,77.81,173019,134622,1.46,0.04,1.36,1967,60,1827
217,CORDOBA_RIO CUARTO,"Rio Cuarto, Cordoba",JUNTOS POR EL CAMBIO,6.79,1.43,31.9,1.48,57.02,1.37,11287,2379,53064,2469,94844,2279,80.16,213939,171486,1.61,0.05,1.36,2759,80,2325
218,CORDOBA_RIO PRIMERO,"Rio Primero, Cordoba",JUNTOS POR EL CAMBIO,3.68,0.91,28.25,0.96,65.22,0.98,1210,298,9284,314,21433,323,81.46,41838,34081,2,0.85,0.72,682,291,246
219,CORDOBA_RIO SECO,"Rio Seco, Cordoba",JUNTOS POR EL CAMBIO,3.41,0.61,45.23,0.98,49.39,0.38,302,54,4009,87,4378,34,74.03,12395,9176,2.36,0,1.04,217,0,95
220,CORDOBA_RIO SEGUNDO,"Rio Segundo, Cordoba",JUNTOS POR EL CAMBIO,5.13,1.17,28.59,1.3,62.57,1.23,3755,859,20913,954,45771,901,82.22,91744,75429,1.98,0.04,1,1490,29,757
221,CORDOBA_PRESIDENTE ROQUE SAENZ PEÑA,"Roque Saenz Pena, Cordoba",JUNTOS POR EL CAMBIO,5.17,1.39,33.52,1.07,57.52,1.34,1225,330,7950,253,13642,317,78.73,30965,24378,1.8,0.05,0.86,440,12,209
222,CORDOBA_SAN ALBERTO,"San Alberto, Cordoba",JUNTOS POR EL CAMBIO,4.85,1.72,41.96,1.76,48.75,0.97,1295,459,11203,471,13016,258,78.48,35307,27710,2.46,0.06,1.12,681,17,310
223,CORDOBA_SAN JAVIER,"San Javier, Cordoba",FRENTE DE TODOS,4.38,1.7,45.99,1.51,45.48,0.92,1618,629,16972,557,16784,341,77.99,49144,38329,2.56,0.05,1.11,982,20,426
224,CORDOBA_SAN JUSTO,"San Justo, Cordoba",JUNTOS POR EL CAMBIO,6.08,1.08,30.98,1.19,59.02,1.63,8532,1522,43475,1675,82822,2294,79.74,180738,144116,1.66,0.01,0.96,2393,16,1387
225,CORDOBA_SANTA MARIA,"Santa Maria, Cordoba",JUNTOS POR EL CAMBIO,5.11,1.55,27.31,1.16,63.67,1.2,3887,1179,20794,884,48479,914,80.99,97328,78822,2.1,0.04,1.27,1654,29,1002
226,CORDOBA_SOBREMONTE,"Sobremonte, Cordoba",FRENTE DE TODOS,2.4,0.43,53.59,0.36,42.85,0.36,73,13,1627,11,1301,11,74.32,4248,3157,3.01,0,0.82,95,0,26
227,CORDOBA_TERCERO ARRIBA,"Tercero Arriba, Cordoba",JUNTOS POR EL CAMBIO,5.79,1.39,28.71,1.6,60.85,1.65,4487,1081,22253,1240,47159,1280,80.57,98797,79597,1.66,0.02,0.95,1325,17,755
228,CORDOBA_TOTORAL,"Totoral, Cordoba",JUNTOS POR EL CAMBIO,3.47,0.85,32.64,0.94,61.19,0.92,471,115,4433,127,8309,125,80.43,17313,13924,1.78,0.03,0.66,248,4,92
229,CORDOBA_TULUMBA,"Tulumba, Cordoba",JUNTOS POR EL CAMBIO,3.4,0.93,44.58,0.74,49.71,0.63,302,83,3959,66,4414,56,74.82,12208,9134,1.81,0.03,0.94,165,3,86
230,CORDOBA_UNION,"Union, Cordoba",JUNTOS POR EL CAMBIO,5.28,1.17,34.59,1.34,56.28,1.35,3718,823,24376,943,39655,951,76.98,93985,72352,1.84,0.01,0.75,1334,9,543
231,CORRIENTES_BELLA VISTA,"Bella Vista, Corrientes",FRENTE DE TODOS,2.88,0.73,58.54,1.18,35.68,0.99,622,159,12663,255,7719,215,82.89,26425,21905,0.57,0.06,0.62,124,13,135
232,CORRIENTES_BERON DE ASTRADA,"Beron De Astrada, Corrientes",FRENTE DE TODOS,1.06,0.85,53.5,0.58,43.58,0.42,20,16,1008,11,821,8,77.45,2461,1906,0.73,0.05,0.37,14,1,7
233,CORRIENTES_CAPITAL,"Capital, Corrientes",JUNTOS POR EL CAMBIO,4.12,1.35,39.04,2.43,51.6,1.46,9217,3015,87273,5439,115357,3268,83.1,273880,227590,0.51,0.14,1.11,1155,330,2536
234,CORRIENTES_CONCEPCION,"Concepcion, Corrientes",FRENTE DE TODOS,2.16,0.83,65.81,1.25,29.47,0.48,240,92,7301,139,3269,53,80.07,14066,11263,0.65,0.05,0.8,73,6,90
235,CORRIENTES_CURUZU CUATIA,"Curuzu Cuatia, Corrientes",FRENTE DE TODOS,2.97,1.07,55.58,1.66,37.74,0.97,661,238,12350,369,8386,216,77.7,29050,22573,0.51,0.35,0.7,115,79,159
236,CORRIENTES_EMPEDRADO,"Empedrado, Corrientes",FRENTE DE TODOS,3.42,1.15,55.77,1.16,37.95,0.54,315,106,5132,107,3492,50,79.54,11774,9365,0.53,0.05,1.15,50,5,108
237,CORRIENTES_ESQUINA,"Esquina, Corrientes",FRENTE DE TODOS,2.96,0.68,61.1,1.47,33.14,0.65,499,115,10294,247,5583,109,73.63,23203,17084,0.71,0.15,0.53,122,25,90
238,CORRIENTES_GENERAL ALVEAR,"General Alvear, Corrientes",FRENTE DE TODOS,1.88,0.35,57.36,1.34,38.37,0.7,80,15,2447,57,1637,30,72.41,5955,4312,0.49,0.07,0.51,21,3,22
239,CORRIENTES_GENERAL PAZ,"General Paz, Corrientes",FRENTE DE TODOS,1.7,0.55,57.29,0.93,38.8,0.72,141,46,4753,77,3219,60,78.17,10733,8390,0.55,0.05,0.52,46,4,44
240,CORRIENTES_GOYA,"Goya, Corrientes",FRENTE DE TODOS,3.4,0.96,59.21,1.33,34.12,0.98,1709,484,29780,668,17160,494,81.54,62593,51037,0.57,0.04,0.84,293,21,428
241,CORRIENTES_ITATI,"Itati, Corrientes",FRENTE DE TODOS,1.87,0.51,56.77,0.53,39.93,0.39,109,30,3314,31,2331,23,74.95,7860,5891,0.32,0.1,0.48,19,6,28
242,CORRIENTES_ITUZAINGO,"Ituzaingo, Corrientes",FRENTE DE TODOS,2.46,0.78,51.42,1.78,42.75,0.82,501,158,10474,362,8709,167,78.43,26427,20726,0.64,0.08,0.99,133,17,205
243,CORRIENTES_LAVALLE,"Lavalle, Corrientes",FRENTE DE TODOS,1.9,0.43,70.29,0.99,25.96,0.43,332,75,12299,174,4543,75,82.13,21700,17822,1.03,0.19,0.59,184,34,106
